"Endpoint","Modelclass","Coefficients","Estimate","Std. Error"
"t24","GLM","37 vs 0",17.5736383538588,1520.8471617239
"t24","GLM","75 vs 0",18.3004021452177,1520.84713777546
"t24","GLM","150 vs 0",18.3004021452177,1520.84713777547
"t26","GLM","37 vs 0",-0.363667979432314,0.495126538888389
"t26","GLM","75 vs 0",-0.50554856666776,0.508388105645606
"t26","GLM","150 vs 0",-0.363667979432313,0.495126538888388
"t27","GLM","37 vs 0",2.92389444993357,0.515130568958334
"t27","GLM","75 vs 0",2.81090758653929,0.508388105645605
"t27","GLM","150 vs 0",2.23359222150707,0.485401966276386
"t28","GLM","37 vs 0",0.769321411458344,0.519675663407399
"t28","GLM","75 vs 0",1.23992582173452,0.502909944356761
"t28","GLM","150 vs 0",0.298942477269961,0.54919415003566
"t29","GLM","37 vs 0",18.4860258021936,922.440440834814
"t29","GLM","75 vs 0",18.8888419021302,922.440441904584
"t29","GLM","150 vs 0",19.7187480198055,922.440456836343
"t36","GLM","37 vs 0",-0.24512245803298,0.702823841838732
"t36","GLM","75 vs 0",-1.69459571300853,1.11467743773807
"t36","GLM","150 vs 0",-1.69459571300853,1.11467743773807
"t41","GLM","37 vs 0",-5.25252559890052e-11,3546.0739822393
"t41","GLM","75 vs 0",17.8145332085968,2507.45303011707
"t41","GLM","150 vs 0",18.1237214862695,2507.45301359218
"t42","GLM","37 vs 0",2.07653032370653,1.08921830905962
"t42","GLM","75 vs 0",3.7314776402696,1.04918962341736
"t42","GLM","150 vs 0",3.97186299801831,1.04900513492941
"t59","GLM","37 vs 0",-0.810930216216334,0.494011760029678
"t59","GLM","75 vs 0",-0.810930216216312,0.494011760029676
"t59","GLM","150 vs 0",-3.04452242995755,1.05618258990486
"t71","GLM","37 vs 0",-1.69459572077441,1.11473332483045
"t71","GLM","75 vs 0",-18.3688439443479,2507.45300376586
"t71","GLM","150 vs 0",-18.3688439443603,2507.4530037715
"t24","BGLM","37 vs 0",1.72774375263415,0.881942732021658
"t24","BGLM","75 vs 0",2.47624014518033,0.853607380271239
"t24","BGLM","150 vs 0",2.47624014518033,0.85360738027124
"t26","BGLM","37 vs 0",-0.31452075656386,0.472218873749297
"t26","BGLM","75 vs 0",-0.449359913368714,0.483696964601891
"t26","BGLM","150 vs 0",-0.314520756563861,0.472218873749298
"t27","BGLM","37 vs 0",2.71422326656212,0.483113301430186
"t27","BGLM","75 vs 0",2.60375607470586,0.476636488160512
"t27","BGLM","150 vs 0",2.03588900686158,0.454150854952108
"t28","BGLM","37 vs 0",0.661423867817864,0.481670302309878
"t28","BGLM","75 vs 0",1.12652240475577,0.466510632682434
"t28","BGLM","150 vs 0",0.202786172399509,0.508035116204392
"t29","BGLM","37 vs 0",3.77747327361925,0.941217220957184
"t29","BGLM","75 vs 0",4.18076658684337,0.942783526562239
"t29","BGLM","150 vs 0",5.00479531205924,0.956372738120586
"t36","BGLM","37 vs 0",-0.0924667673971698,0.65745057202731
"t36","BGLM","75 vs 0",-1.27844845160335,0.904590525492032
"t36","BGLM","150 vs 0",-1.27844845160335,0.904590525492032
"t41","BGLM","37 vs 0",-0.919572430445577,1.65027180558245
"t41","BGLM","75 vs 0",1.71428440247639,1.13178060786232
"t41","BGLM","150 vs 0",2.04514931030866,1.11298919587895
"t42","BGLM","37 vs 0",1.27720683938591,0.735634160698079
"t42","BGLM","75 vs 0",2.95211887129589,0.691705003608239
"t42","BGLM","150 vs 0",3.19310359135271,0.691843709540112
"t59","BGLM","37 vs 0",-0.704986295321686,0.474029561021711
"t59","BGLM","75 vs 0",-0.704986295321684,0.474029561021713
"t59","BGLM","150 vs 0",-2.63419165809935,0.862988649938877
"t71","BGLM","37 vs 0",-1.19625154421431,0.915944545825901
"t71","BGLM","75 vs 0",-2.49885084427032,1.4654521250939
"t71","BGLM","150 vs 0",-2.49885084427032,1.46545212509391
