"Endpoint","Comparison","Bonferroni","B_Bonferroni","B_MMM","Bootstrap","B_Bootstrap"
"t24","37 vs 0",1,1,0.7271,0.019,0.0205
"t24","75 vs 0",1,0.1116,0.098,1,1
"t24","150 vs 0",1,0.1116,0.0975,0.0017,0.0018
"t26","37 vs 0",1,1,1,1,1
"t26","75 vs 0",1,1,1,0,0
"t26","150 vs 0",1,1,1,0.6762,0.7142
"t27","37 vs 0",0,0,0,0.2955,0.2996
"t27","75 vs 0",0,0,0,0,0
"t27","150 vs 0",1e-04,2e-04,3e-04,0.0042,0.0035
"t28","37 vs 0",1,1,0.9889,0.4936,0.2591
"t28","75 vs 0",0.4105,0.4723,0.3433,0.019,0.0205
"t28","150 vs 0",1,1,1,1,1
"t29","37 vs 0",1,0.0018,0.0017,0.0017,0.0018
"t29","75 vs 0",1,3e-04,3e-04,1,1
"t29","150 vs 0",1,0,0,0,0
"t36","37 vs 0",1,1,1,0.6762,0.7142
"t36","75 vs 0",1,1,0.9844,0.2955,0.2996
"t36","150 vs 0",1,1,0.9843,0,0
"t41","37 vs 0",1,1,1,0.0042,0.0035
"t41","75 vs 0",1,1,0.9663,0.4936,0.2591
"t41","150 vs 0",1,1,0.8187,0.019,0.0205
"t42","37 vs 0",1,1,0.8814,1,1
"t42","75 vs 0",0.0113,6e-04,6e-04,0.0017,0.0018
"t42","150 vs 0",0.0046,1e-04,1e-04,1,1
"t59","37 vs 0",1,1,0.9722,0,0
"t59","75 vs 0",1,1,0.9722,0.6762,0.7142
"t59","150 vs 0",0.1183,0.0681,0.0618,0.2955,0.2996
"t71","37 vs 0",1,1,0.9941,0,0
"t71","75 vs 0",1,1,0.8977,0.0042,0.0035
"t71","150 vs 0",1,1,0.8976,0.4936,0.2591
