"Endpoint","Modelclass","Coefficients","Estimate","Std. Error"
"t24","GLM","intercept",-2.70268633158041,0.396646727935945
"t24","GLM","dose slope",0.0113503136260129,0.00371807096326895
"t26","GLM","intercept",-1.30972183204255,0.271709589894729
"t26","GLM","dose slope",-0.00221303624167573,0.00331419558888771
"t27","GLM","intercept",-0.294324808902981,0.223444198089173
"t27","GLM","dose slope",0.0102366009612977,0.00284359682337196
"t28","GLM","intercept",-1.24121088280916,0.260567472532803
"t28","GLM","dose slope",0.00091955058956498,0.00298769069892409
"t29","GLM","intercept",-1.61185921807236,0.270850827279197
"t29","GLM","dose slope",0.021778528127094,0.00338068148376319
"t36","GLM","intercept",-2.1714869935611,0.408577876223826
"t36","GLM","dose slope",-0.0137276738436548,0.00745558801838057
"t41","GLM","intercept",-4.96926023710756,1.00411844492578
"t41","GLM","dose slope",0.0179968170308154,0.00796536151990326
"t42","GLM","intercept",-2.29823646534472,0.322797384827157
"t42","GLM","dose slope",0.0181220876002421,0.00320541629332872
"t59","GLM","intercept",-0.844331851560107,0.266695954984491
"t59","GLM","dose slope",-0.0162631599081502,0.00477579343957423
"t71","GLM","intercept",-2.17233393614194,0.462699899532523
"t71","GLM","dose slope",-0.0532907160287732,0.0263789272169948
"t24","BGLM","intercept",-2.65761718926484,0.385616634699054
"t24","BGLM","dose slope",0.010867754030948,0.00362072532415779
"t26","BGLM","intercept",-1.31437504133924,0.268763123117553
"t26","BGLM","dose slope",-0.00212208424133869,0.00324216397669004
"t27","BGLM","intercept",-0.279034248507541,0.221569894700891
"t27","BGLM","dose slope",0.00997356278523314,0.00279509554379576
"t28","BGLM","intercept",-1.23847608743296,0.257803462172945
"t28","BGLM","dose slope",0.000888368104553132,0.00293704668198754
"t29","BGLM","intercept",-1.58014911844284,0.266808258395807
"t29","BGLM","dose slope",0.0212820491529623,0.00330292943332796
"t36","BGLM","intercept",-2.23560335098323,0.401780758952459
"t36","BGLM","dose slope",-0.0118303766985689,0.00659963952880336
"t41","BGLM","intercept",-4.67795482900952,0.862845883350812
"t41","BGLM","dose slope",0.0155030319396353,0.00700256234072681
"t42","BGLM","intercept",-2.26032254867927,0.316953814330437
"t42","BGLM","dose slope",0.0176817569766791,0.00314344311514884
"t59","BGLM","intercept",-0.877394934779755,0.263803512361236
"t59","BGLM","dose slope",-0.0153420540046714,0.00452978414099532
"t71","BGLM","intercept",-2.33612288598216,0.468976522554033
"t71","BGLM","dose slope",-0.0348007182236061,0.0152108451728266
