Endpoint;Comparison;Coefficient_GLM;Coefficient_BGLM;Std_Error_GLM;Std_Error_BGLM
t24;37 vs 0;17.57;1.73;1520.85;0.88
t24;75 vs 0;18.30;2.48;1520.85;0.85
t24;150 vs 0;18.30;2.48;1520.85;0.85
t26;37 vs 0;-0.36;-0.31;0.50;0.47
t26;75 vs 0;-0.51;-0.45;0.51;0.48
t26;150 vs 0;-0.36;-0.31;0.50;0.47
t27;37 vs 0;2.92;2.71;0.52;0.48
t27;75 vs 0;2.81;2.60;0.51;0.48
t27;150 vs 0;2.23;2.04;0.49;0.45
t28;37 vs 0;0.77;0.66;0.52;0.48
t28;75 vs 0;1.24;1.13;0.50;0.47
t28;150 vs 0;0.30;0.20;0.55;0.51
t29;37 vs 0;18.49;3.78;922.44;0.94
t29;75 vs 0;18.89;4.18;922.44;0.94
t29;150 vs 0;19.72;5.00;922.44;0.96
t36;37 vs 0;-0.25;-0.09;0.70;0.66
t36;75 vs 0;-1.69;-1.28;1.11;0.90
t36;150 vs 0;-1.69;-1.28;1.11;0.90
t41;37 vs 0;0.00;-0.92;3546.07;1.65
t41;75 vs 0;17.81;1.71;2507.45;1.13
t41;150 vs 0;18.12;2.05;2507.45;1.11
t42;37 vs 0;2.08;1.28;1.09;0.74
t42;75 vs 0;3.73;2.95;1.05;0.69
t42;150 vs 0;3.97;3.19;1.05;0.69
t59;37 vs 0;-0.81;-0.70;0.49;0.47
t59;75 vs 0;-0.81;-0.70;0.49;0.47
t59;150 vs 0;-3.04;-2.63;1.06;0.86
t71;37 vs 0;-1.69;-1.20;1.11;0.92
t71;75 vs 0;-18.37;-2.50;2507.45;1.47
t71;150 vs 0;-18.37;-2.50;2507.45;1.47
