Endpoint;Comparison;Bonferroni_GLM;Bonferroni_BGLM;MMM_BGLM;Bootstrap_GLM;Bootstrap_BGLM
t24;37 vs 0;1.0000;1.0000;0.7268;1.0000;0.5382
t24;75 vs 0;1.0000;0.1116;0.0982;1.0000;0.0302
t24;150 vs 0;1.0000;0.1116;0.0974;1.0000;0.0302
t26;37 vs 0;1.0000;1.0000;1.0000;1.0000;1.0000
t26;75 vs 0;1.0000;1.0000;1.0000;0.9995;0.9999
t26;150 vs 0;1.0000;1.0000;1.0000;1.0000;1.0000
t27;37 vs 0;0.0000;0.0000;0.0000;0.0000;0.0000
t27;75 vs 0;0.0000;0.0000;0.0000;0.0000;0.0000
t27;150 vs 0;0.0001;0.0002;0.0002;0.0000;0.0000
t28;37 vs 0;1.0000;1.0000;0.9889;0.9334;0.9765
t28;75 vs 0;0.4105;0.4723;0.3430;0.1511;0.1657
t28;150 vs 0;1.0000;1.0000;1.0000;1.0000;1.0000
t29;37 vs 0;1.0000;0.0018;0.0018;1.0000;0.0000
t29;75 vs 0;1.0000;0.0003;0.0003;1.0000;0.0000
t29;150 vs 0;1.0000;0.0000;0.0000;1.0000;0.0000
t36;37 vs 0;1.0000;1.0000;1.0000;1.0000;1.0000
t36;75 vs 0;1.0000;1.0000;0.9843;0.9266;0.9635
t36;150 vs 0;1.0000;1.0000;0.9843;0.9265;0.9636
t41;37 vs 0;1.0000;1.0000;1.0000;1.0000;1.0000
t41;75 vs 0;1.0000;1.0000;0.9663;1.0000;0.9302
t41;150 vs 0;1.0000;1.0000;0.8187;1.0000;0.6714
t42;37 vs 0;1.0000;1.0000;0.8813;0.6023;0.7748
t42;75 vs 0;0.0113;0.0006;0.0007;0.0017;0.0000
t42;150 vs 0;0.0046;0.0001;0.0001;0.0010;0.0000
t59;37 vs 0;1.0000;1.0000;0.9722;0.8502;0.9404
t59;75 vs 0;1.0000;1.0000;0.9722;0.8502;0.9404
t59;150 vs 0;0.1183;0.0681;0.0613;0.0370;0.0175
t71;37 vs 0;1.0000;1.0000;0.9941;0.9290;0.9895
t71;75 vs 0;1.0000;1.0000;0.8975;1.0000;0.8032
t71;150 vs 0;1.0000;1.0000;0.8976;1.0000;0.8032
