"","Method","Model","Setting","N","Correlation","Power","FWER","No_simulations"
"1","bonf","bglm","h010_5pis_0125",100,0,0,0.0065,10000
"2","bonf","bglm","h010_5pis_0125",100,0.5,0,0.0068,10000
"3","bonf","bglm","h010_5pis_0125",100,0.9,0,0.0048,10000
"4","bonf","bglm","h010_5pis_0125",200,0,0,0.0138,10000
"5","bonf","bglm","h010_5pis_0125",200,0.5,0,0.0125,10000
"6","bonf","bglm","h010_5pis_0125",200,0.9,0,0.0111,10000
"7","bonf","glm","h010_5pis_0125",100,0,0,0.0094,10000
"8","bonf","glm","h010_5pis_0125",100,0.5,0,0.0104,10000
"9","bonf","glm","h010_5pis_0125",100,0.9,0,0.0067,10000
"10","bonf","glm","h010_5pis_0125",200,0,0,0.0205,10000
"11","bonf","glm","h010_5pis_0125",200,0.5,0,0.0208,10000
"12","bonf","glm","h010_5pis_0125",200,0.9,0,0.0162,10000
"13","bt","bglm","h010_5pis_0125",100,0,0,0.0364,10000
"14","bt","bglm","h010_5pis_0125",100,0.5,0,0.0357,10000
"15","bt","bglm","h010_5pis_0125",100,0.9,0,0.0414,10000
"16","bt","bglm","h010_5pis_0125",200,0,0,0.0434,10000
"17","bt","bglm","h010_5pis_0125",200,0.5,0,0.0452,10000
"18","bt","bglm","h010_5pis_0125",200,0.9,0,0.0424,10000
"19","bt","glm","h010_5pis_0125",100,0,0,0.0488,10000
"20","bt","glm","h010_5pis_0125",100,0.5,0,0.0472,10000
"21","bt","glm","h010_5pis_0125",100,0.9,0,0.0531,10000
"22","bt","glm","h010_5pis_0125",200,0,0,0.0485,10000
"23","bt","glm","h010_5pis_0125",200,0.5,0,0.051,10000
"24","bt","glm","h010_5pis_0125",200,0.9,0,0.0499,10000
"25","mmm","bglm","h010_5pis_0125",100,0,0,0.0103,10000
"26","mmm","bglm","h010_5pis_0125",100,0.5,0,0.0098,10000
"27","mmm","bglm","h010_5pis_0125",100,0.9,0,0.0076,10000
"28","mmm","bglm","h010_5pis_0125",200,0,0,0.0168,10000
"29","mmm","bglm","h010_5pis_0125",200,0.5,0,0.016,10000
"30","mmm","bglm","h010_5pis_0125",200,0.9,0,0.0198,10000
