"","Method","Model","Intercept","J","N","Correlation","FWERW","CorMat_Error","No_simulations"
"1","bonf","glm",0.01,3,100,0,0,0,10000
"2","bonf","glm",0.01,3,100,0.5,0,0,10000
"3","bonf","glm",0.01,3,100,0.9,0,0,10000
"4","bonf","glm",0.01,3,200,0,2e-04,0,10000
"5","bonf","glm",0.01,3,200,0.5,2e-04,0,10000
"6","bonf","glm",0.01,3,200,0.9,2e-04,0,10000
"7","bonf","glm",0.01,3,400,0,0.0014,0,10000
"8","bonf","glm",0.01,3,400,0.5,7e-04,0,10000
"9","bonf","glm",0.01,3,400,0.9,6e-04,0,10000
"10","bonf","glm",0.01,5,100,0,0,0,10000
"11","bonf","glm",0.01,5,100,0.5,0,0,10000
"12","bonf","glm",0.01,5,100,0.9,0,0,10000
"13","bonf","glm",0.01,5,200,0,0,0,10000
"14","bonf","glm",0.01,5,200,0.5,0,0,10000
"15","bonf","glm",0.01,5,200,0.9,0,0,10000
"16","bonf","glm",0.01,5,400,0,8e-04,0,10000
"17","bonf","glm",0.01,5,400,0.5,4e-04,0,10000
"18","bonf","glm",0.01,5,400,0.9,2e-04,0,10000
"19","bonf","glm",0.01,10,100,0,0,0,10000
"20","bonf","glm",0.01,10,100,0.5,0,0,10000
"21","bonf","glm",0.01,10,100,0.9,0,0,10000
"22","bonf","glm",0.01,10,200,0,0,0,10000
"23","bonf","glm",0.01,10,200,0.5,0,0,10000
"24","bonf","glm",0.01,10,200,0.9,0,0,10000
"25","bonf","glm",0.01,10,400,0,0,0,10000
"26","bonf","glm",0.01,10,400,0.5,0,0,10000
"27","bonf","glm",0.01,10,400,0.9,0,0,10000
"28","bonf","glm",0.0625,3,100,0,0.0112,0,10000
"29","bonf","glm",0.0625,3,100,0.5,0.009,0,10000
"30","bonf","glm",0.0625,3,100,0.9,0.0065,0,10000
"31","bonf","glm",0.0625,3,200,0,0.0256,0,10000
"32","bonf","glm",0.0625,3,200,0.5,0.0237,0,10000
"33","bonf","glm",0.0625,3,200,0.9,0.0156,0,10000
"34","bonf","glm",0.0625,3,400,0,0.0387,0,10000
"35","bonf","glm",0.0625,3,400,0.5,0.0355,0,10000
"36","bonf","glm",0.0625,3,400,0.9,0.0209,0,10000
"37","bonf","glm",0.0625,5,100,0,0.0061,0,10000
"38","bonf","glm",0.0625,5,100,0.5,0.0052,0,10000
"39","bonf","glm",0.0625,5,100,0.9,0.0026,0,10000
"40","bonf","glm",0.0625,5,200,0,0.0214,0,10000
"41","bonf","glm",0.0625,5,200,0.5,0.0174,0,10000
"42","bonf","glm",0.0625,5,200,0.9,0.01,0,10000
"43","bonf","glm",0.0625,5,400,0,0.0374,0,10000
"44","bonf","glm",0.0625,5,400,0.5,0.0289,0,10000
"45","bonf","glm",0.0625,5,400,0.9,0.0166,0,10000
"46","bonf","glm",0.0625,10,100,0,0.0022,0,10000
"47","bonf","glm",0.0625,10,100,0.5,0.0029,0,10000
"48","bonf","glm",0.0625,10,100,0.9,8e-04,0,10000
"49","bonf","glm",0.0625,10,200,0,0.0129,0,10000
"50","bonf","glm",0.0625,10,200,0.5,0.0089,0,10000
"51","bonf","glm",0.0625,10,200,0.9,0.0037,0,10000
"52","bonf","glm",0.0625,10,400,0,0.0326,0,10000
"53","bonf","glm",0.0625,10,400,0.5,0.025,0,10000
"54","bonf","glm",0.0625,10,400,0.9,0.0117,0,10000
