"","Method","Model","Intercept","Slope","J0","JA","N","Correlation","Power","FWERS","CorMat_Error","No_simulations"
"1","bonf","glm",0.1,0.001,"2","8",100,0,0.0089,0.0022,0,10000
"2","bonf","glm",0.1,0.001,"2","8",100,0.5,0.0077,0.0013,0,10000
"3","bonf","glm",0.1,0.001,"2","8",100,0.9,0.0023,0.0015,0,10000
"4","bonf","glm",0.1,0.025,"2","8",100,0,0.0227,0.0016,0,10000
"5","bonf","glm",0.1,0.025,"2","8",100,0.5,0.02,0.002,0,10000
"6","bonf","glm",0.1,0.025,"2","8",100,0.9,0.0086,0.0023,0,10000
"7","bonf","glm",0.1,0.05,"2","8",100,0,0.0664,0.0022,0,10000
"8","bonf","glm",0.1,0.05,"2","8",100,0.5,0.0494,0.0015,0,10000
"9","bonf","glm",0.1,0.05,"2","8",100,0.9,0.0223,0.0011,0,10000
"10","bonf","glm",0.1,0.075,"2","8",100,0,0.1758,0.0022,0,10000
"11","bonf","glm",0.1,0.075,"2","8",100,0.5,0.1131,0.002,0,10000
"12","bonf","glm",0.1,0.075,"2","8",100,0.9,0.0489,0.0022,0,10000
"13","bonf","glm",0.1,0.1,"2","8",100,0,0.3626,0.0017,0,10000
"14","bonf","glm",0.1,0.1,"2","8",100,0.5,0.2297,0.0023,0,10000
"15","bonf","glm",0.1,0.1,"2","8",100,0.9,0.1127,0.0012,0,10000
"16","bonf","glm",0.1,0.125,"2","8",100,0,0.6421,0.002,0,10000
"17","bonf","glm",0.1,0.125,"2","8",100,0.5,0.4158,0.0025,0,10000
"18","bonf","glm",0.1,0.125,"2","8",100,0.9,0.2306,0.0012,0,10000
"19","bonf","glm",0.1,0.15,"2","8",100,0,0.8769,0.002,0,10000
"20","bonf","glm",0.1,0.15,"2","8",100,0.5,0.6162,0.0019,0,10000
"21","bonf","glm",0.1,0.15,"2","8",100,0.9,0.3799,0.0028,0,10000
"22","bonf","glm",0.1,0.175,"2","8",100,0,0.9821,0.0018,0,10000
"23","bonf","glm",0.1,0.175,"2","8",100,0.5,0.805,0.0018,0,10000
"24","bonf","glm",0.1,0.175,"2","8",100,0.9,0.5533,0.0013,0,10000
"25","bonf","glm",0.1,0.2,"2","8",100,0,0.999,0.0014,0,10000
"26","bonf","glm",0.1,0.2,"2","8",100,0.5,0.9284,0.0018,0,10000
"27","bonf","glm",0.1,0.2,"2","8",100,0.9,0.7383,0.0018,0,10000
"28","bonf","glm",0.1,0.001,"8","2",100,0,0.0019,0.0064,0,10000
"29","bonf","glm",0.1,0.001,"8","2",100,0.5,0.002,0.0072,0,10000
"30","bonf","glm",0.1,0.001,"8","2",100,0.9,0.0012,0.0031,0,10000
"31","bonf","glm",0.1,0.025,"8","2",100,0,0.0042,0.0086,0,10000
"32","bonf","glm",0.1,0.025,"8","2",100,0.5,0.005,0.0076,0,10000
"33","bonf","glm",0.1,0.025,"8","2",100,0.9,0.0044,0.0028,0,10000
"34","bonf","glm",0.1,0.05,"8","2",100,0,0.0161,0.008,0,10000
"35","bonf","glm",0.1,0.05,"8","2",100,0.5,0.0159,0.0064,0,10000
