"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1000,25,0,0,0,8,8,992,0,0,0,NA
"2","mmm","bglm",1000,50,0,0,0,16,16,984,0,0,0,NA
"3","mmm","bglm",1000,25,0.5,0,0,10,9,991,0,0,0,NA
"4","mmm","bglm",1000,50,0.5,0,0,26,23,977,0,0,0,NA
"5","mmm","bglm",1000,25,0.9,0,0,15,8,992,0,0,0,NA
"6","mmm","bglm",1000,50,0.9,0,0,44,28,972,0,0,0,NA
"7","mmm","bglm",1000,25,0,0,0,7,7,993,0,0,0,NA
"8","mmm","bglm",1000,50,0,0,0,17,17,983,0,0,0,NA
"9","mmm","bglm",1000,25,0.5,0,0,11,9,991,0,0,0,NA
"10","mmm","bglm",1000,50,0.5,0,0,29,23,977,0,0,0,NA
"11","mmm","bglm",1000,25,0.9,0,0,26,10,990,0,0,0,NA
"12","mmm","bglm",1000,50,0.9,0,0,30,20,980,0,0,0,NA
"13","mmm","bglm",1000,25,0,0,0,12,12,988,0,0,0,NA
"14","mmm","bglm",1000,50,0,0,0,14,13,987,0,0,0,NA
"15","mmm","bglm",1000,25,0.5,0,0,15,14,986,0,0,0,NA
"16","mmm","bglm",1000,50,0.5,0,0,16,15,985,0,0,0,NA
"17","mmm","bglm",1000,25,0.9,0,0,32,21,979,0,0,0,NA
"18","mmm","bglm",1000,50,0.9,0,0,26,18,982,0,0,0,NA
"19","mmm","bglm",1000,25,0,0,0,8,8,992,0,0,0,NA
"20","mmm","bglm",1000,50,0,0,0,23,21,979,0,0,0,NA
"21","mmm","bglm",1000,25,0.5,0,0,12,12,988,0,0,0,NA
"22","mmm","bglm",1000,50,0.5,0,0,29,27,973,0,0,0,NA
"23","mmm","bglm",1000,25,0.9,0,0,11,10,990,0,0,0,NA
"24","mmm","bglm",1000,50,0.9,0,0,38,24,976,0,0,0,NA
"25","mmm","bglm",1000,25,0,0,0,5,4,996,0,0,0,NA
