"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"bonf","bglm",25,0,10000,0.0066,0.0065,0.9935,0,0,0,0,0,"h010_5pis_0125",100,0
"bonf","bglm",25,0.5,10000,0.0069,0.0068,0.9932,0,0,0,0,0,"h010_5pis_0125",100,0.5
"bonf","bglm",25,0.9,10000,0.0057,0.0048,0.9952,0,0,0,0,0,"h010_5pis_0125",100,0.9
"bonf","bglm",50,0,10000,0.0143,0.0138,0.9862,0,0,0,0,0,"h010_5pis_0125",200,0
"bonf","bglm",50,0.5,10000,0.013,0.0125,0.9875,0,0,0,0,0,"h010_5pis_0125",200,0.5
"bonf","bglm",50,0.9,10000,0.0147,0.0111,0.9889,0,0,0,0,0,"h010_5pis_0125",200,0.9
"bonf","glm",25,0,10000,0.0101,0.0094,0.9906,0,0,0,0,0,"h010_5pis_0125",100,0
"bonf","glm",25,0.5,10000,0.0111,0.0104,0.9896,0,0,0,0,0,"h010_5pis_0125",100,0.5
"bonf","glm",25,0.9,10000,0.0089,0.0067,0.9933,0,0,0,0,0,"h010_5pis_0125",100,0.9
"bonf","glm",50,0,10000,0.0219,0.0205,0.9795,0,0,0,0,0,"h010_5pis_0125",200,0
"bonf","glm",50,0.5,10000,0.0223,0.0208,0.9792,0,0,0,0,0,"h010_5pis_0125",200,0.5
"bonf","glm",50,0.9,10000,0.0232,0.0162,0.9838,0,0,0,0,0,"h010_5pis_0125",200,0.9
"bt","bglm",25,0,10000,0.0392,0.0364,0.9636,0,0,0,0,0,"h010_5pis_0125",100,0
"bt","bglm",25,0.5,10000,0.0385,0.0357,0.9643,0,0,0,0,0,"h010_5pis_0125",100,0.5
"bt","bglm",25,0.9,10000,0.0564,0.0414,0.9586,0,0,0,0,0,"h010_5pis_0125",100,0.9
"bt","bglm",50,0,10000,0.0461,0.0434,0.9566,0,0,0,0,0,"h010_5pis_0125",200,0
"bt","bglm",50,0.5,10000,0.0507,0.0452,0.9548,0,0,0,0,0,"h010_5pis_0125",200,0.5
"bt","bglm",50,0.9,10000,0.0596,0.0424,0.9576,0,0,0,0,0,"h010_5pis_0125",200,0.9
"bt","glm",25,0,10000,0.0524,0.0488,0.9512,0,0,0,0,0,"h010_5pis_0125",100,0
"bt","glm",25,0.5,10000,0.0537,0.0472,0.9528,0,0,0,0,0,"h010_5pis_0125",100,0.5
"bt","glm",25,0.9,10000,0.0761,0.0531,0.9469,0,0,0,0,0,"h010_5pis_0125",100,0.9
"bt","glm",50,0,10000,0.0532,0.0485,0.9515,0,0,0,0,0,"h010_5pis_0125",200,0
"bt","glm",50,0.5,10000,0.056,0.051,0.949,0,0,0,0,0,"h010_5pis_0125",200,0.5
