"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,10,10,1657,117,115,0,NA
"2","mmm","bglm",1667,50,0,0,1667,5,5,1662,3482,1527,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,18,14,1653,729,156,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,39,28,1639,6649,1073,0,NA
"5","mmm","bglm",1667,25,0,0,1667,9,9,1658,113,112,0,NA
"6","mmm","bglm",1667,50,0,0,1667,10,10,1657,3482,1484,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,22,15,1652,794,153,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,35,29,1638,6631,1086,0,NA
"9","mmm","bglm",1667,25,0,0,1667,5,5,1662,103,103,0,NA
"10","mmm","bglm",1667,50,0,0,1667,9,9,1658,3479,1513,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,24,20,1647,723,153,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,25,17,1650,6979,1111,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,10,10,1657,244,158,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,10,10,1657,4486,1230,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,11,10,1657,311,191,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,13,11,1656,4310,1196,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,6,6,1661,225,146,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,15,13,1654,4153,1186,0,NA
"19","mmm","bglm",1667,25,0,0,1667,6,6,1661,133,128,0,NA
"20","mmm","bglm",1667,50,0,0,1667,9,8,1659,3419,1512,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,33,20,1647,820,169,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,24,18,1649,6720,1083,0,NA
"23","mmm","bglm",1667,25,0,0,1667,5,5,1662,113,112,0,NA
"24","mmm","bglm",1667,50,0,0,1667,8,8,1659,3561,1525,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,19,15,1652,742,153,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,28,21,1646,6646,1075,0,NA
"27","mmm","bglm",1667,25,0,0,1667,7,7,1660,129,125,0,NA
"28","mmm","bglm",1667,50,0,0,1667,9,9,1658,3460,1500,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,26,16,1651,758,156,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,29,23,1644,6601,1076,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,10,10,1657,246,155,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,20,17,1650,4265,1176,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,7,7,1660,239,149,0,NA
