"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,3,3,1664,0,0,0,NA
"2","mmm","bglm",1667,50,0,0,1667,16,15,1652,0,0,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,29,21,1646,0,0,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,41,31,1636,0,0,0,NA
"5","mmm","bglm",1667,25,0,0,1667,12,10,1657,0,0,0,NA
"6","mmm","bglm",1667,50,0,0,1667,12,11,1656,0,0,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,22,17,1650,0,0,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,29,22,1645,0,0,0,NA
"9","mmm","bglm",1667,25,0,0,1667,11,11,1656,0,0,0,NA
"10","mmm","bglm",1667,50,0,0,1667,11,11,1656,0,0,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,23,18,1649,0,0,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,42,26,1641,2,1,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,9,9,1658,0,0,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,13,13,1654,0,0,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,10,10,1657,0,0,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,14,14,1653,0,0,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,11,11,1656,0,0,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,14,13,1654,0,0,0,NA
"19","mmm","bglm",1667,25,0,0,1667,13,13,1654,0,0,0,NA
"20","mmm","bglm",1667,50,0,0,1667,8,8,1659,0,0,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,19,14,1653,0,0,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,36,28,1639,0,0,0,NA
"23","mmm","bglm",1667,25,0,0,1667,8,8,1659,0,0,0,NA
"24","mmm","bglm",1667,50,0,0,1667,10,10,1657,0,0,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,28,20,1647,0,0,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,25,21,1646,0,0,0,NA
"27","mmm","bglm",1667,25,0,0,1667,4,4,1663,0,0,0,NA
"28","mmm","bglm",1667,50,0,0,1667,4,4,1663,0,0,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,18,14,1653,0,0,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,41,33,1634,0,0,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,14,13,1654,0,0,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,17,16,1651,0,0,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,10,10,1657,0,0,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,22,22,1645,0,0,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,14,14,1653,0,0,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,16,15,1652,0,0,0,NA
"37","bonf","glm",1667,25,0,0,1667,10,10,1657,0,0,0,1
"38","bt","glm",1667,25,0,0,1667,104,93,1574,0,0,0,2
"39","bonf","bglm",1667,25,0,0,1667,5,5,1662,0,0,0,3
"40","bt","bglm",1667,25,0,0,1667,64,61,1606,0,0,0,4
"41","bonf","glm",1667,50,0,0,1667,12,12,1655,0,0,0,5
"42","bt","glm",1667,50,0,0,1667,93,82,1585,0,0,0,6
"43","bonf","bglm",1667,50,0,0,1667,6,6,1661,0,0,0,7
"44","bt","bglm",1667,50,0,0,1667,65,62,1605,0,0,0,8
"45","bonf","glm",1667,25,0.9,0,1667,4,3,1664,0,0,0,9
"46","bt","glm",1667,25,0.9,0,1667,127,74,1593,0,0,0,10
"47","bonf","bglm",1667,25,0.9,0,1667,8,6,1661,0,0,0,11
"48","bt","bglm",1667,25,0.9,0,1667,74,56,1611,0,0,0,12
"49","bonf","glm",1667,50,0.9,0,1667,11,9,1658,0,0,0,13
"50","bt","glm",1667,50,0.9,0,1667,123,81,1586,0,0,0,14
"51","bonf","bglm",1667,50,0.9,0,1667,4,4,1663,0,0,0,15
"52","bt","bglm",1667,50,0.9,0,1667,102,75,1592,3,1,0,16
"53","bonf","glm",1667,25,0,0,1667,6,5,1662,0,0,0,17
"54","bt","glm",1667,25,0,0,1667,92,82,1585,0,0,0,18
"55","bonf","bglm",1667,25,0,0,1667,4,4,1663,0,0,0,19
"56","bt","bglm",1667,25,0,0,1667,49,44,1623,0,0,0,20
"57","bonf","glm",1667,50,0,0,1667,17,14,1653,0,0,0,21
"58","bt","glm",1667,50,0,0,1667,86,81,1586,0,0,0,22
"59","bonf","bglm",1667,50,0,0,1667,7,7,1660,0,0,0,23
"60","bt","bglm",1667,50,0,0,1667,71,67,1600,1,1,0,24
"61","bonf","glm",1667,25,0.9,0,1667,6,6,1661,0,0,0,25
"62","bt","glm",1667,25,0.9,0,1667,123,81,1586,0,0,0,26
"63","bonf","bglm",1667,25,0.9,0,1667,2,2,1665,0,0,0,27
"64","bt","bglm",1667,25,0.9,0,1667,93,65,1602,0,0,0,28
"65","bonf","glm",1667,50,0.9,0,1667,18,15,1652,0,0,0,29
"66","bt","glm",1667,50,0.9,0,1667,158,96,1571,0,0,0,30
"67","bonf","bglm",1667,50,0.9,0,1667,6,5,1662,0,0,0,31
"68","bt","bglm",1667,50,0.9,0,1667,99,64,1603,0,0,0,32
"69","bonf","glm",1667,25,0,0,1667,9,9,1658,0,0,0,33
"70","bt","glm",1667,25,0,0,1667,97,88,1579,0,0,0,34
"71","bonf","bglm",1667,25,0,0,1667,6,6,1661,0,0,0,35
"72","bt","bglm",1667,25,0,0,1667,65,62,1605,0,0,0,36
"73","bonf","glm",1667,50,0,0,1667,12,12,1655,0,0,0,37
"74","bt","glm",1667,50,0,0,1667,92,81,1586,0,0,0,38
"75","bonf","bglm",1667,50,0,0,1667,6,6,1661,0,0,0,39
"76","bt","bglm",1667,50,0,0,1667,65,61,1606,0,0,0,40
"77","bonf","glm",1667,25,0.9,0,1667,17,11,1656,0,0,0,41
"78","bt","glm",1667,25,0.9,0,1667,112,78,1589,0,0,0,42
"79","bonf","bglm",1667,25,0.9,0,1667,5,5,1662,0,0,0,43
"80","bt","bglm",1667,25,0.9,0,1667,105,67,1600,0,0,0,44
"81","bonf","glm",1667,50,0.9,0,1667,12,10,1657,0,0,0,45
"82","bt","glm",1667,50,0.9,0,1667,142,89,1578,0,0,0,46
"83","bonf","bglm",1667,50,0.9,0,1667,4,3,1664,0,0,0,47
"84","bt","bglm",1667,50,0.9,0,1667,89,60,1607,4,1,0,48
"85","bonf","glm",1667,25,0.5,0,1667,7,7,1660,0,0,0,49
"86","bt","glm",1667,25,0.5,0,1667,106,95,1572,0,0,0,50
"87","bonf","bglm",1667,25,0.5,0,1667,9,9,1658,0,0,0,51
"88","bt","bglm",1667,25,0.5,0,1667,72,64,1603,0,0,0,52
"89","bonf","glm",1667,50,0.5,0,1667,14,13,1654,0,0,0,53
"90","bt","glm",1667,50,0.5,0,1667,103,91,1576,0,0,0,54
"91","bonf","bglm",1667,50,0.5,0,1667,9,9,1658,0,0,0,55
"92","bt","bglm",1667,50,0.5,0,1667,59,54,1613,0,0,0,56
"93","bonf","glm",1667,25,0.5,0,1667,6,5,1662,0,0,0,57
"94","bt","glm",1667,25,0.5,0,1667,109,85,1582,0,0,0,58
"95","bonf","bglm",1667,25,0.5,0,1667,4,4,1663,0,0,0,59
"96","bt","bglm",1667,25,0.5,0,1667,68,55,1612,0,0,0,60
"97","bonf","glm",1667,50,0.5,0,1667,11,11,1656,0,0,0,61
"98","bt","glm",1667,50,0.5,0,1667,105,95,1572,0,0,0,62
"99","bonf","bglm",1667,50,0.5,0,1667,11,9,1658,0,0,0,63
"100","bt","bglm",1667,50,0.5,0,1667,76,70,1597,2,2,0,64
"101","bonf","glm",1667,25,0.5,0,1667,8,8,1659,0,0,0,65
"102","bt","glm",1667,25,0.5,0,1667,88,79,1588,0,0,0,66
"103","bonf","bglm",1667,25,0.5,0,1667,3,3,1664,0,0,0,67
"104","bt","bglm",1667,25,0.5,0,1667,61,54,1613,0,0,0,68
