"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1000,25,0,0,1000,0,0,1000,16,16,0,NA
"2","mmm","bglm",1000,50,0,0,1000,9,8,992,144,135,0,NA
"3","mmm","bglm",1000,25,0.5,0,1000,4,4,996,16,15,0,NA
"4","mmm","bglm",1000,50,0.5,0,1000,13,12,988,220,139,0,NA
"5","mmm","bglm",1000,25,0.9,0,1000,7,5,995,92,27,0,NA
"6","mmm","bglm",1000,50,0.9,0,1000,12,9,991,470,119,0,NA
"7","mmm","bglm",1000,25,0,0,1000,3,3,997,15,14,0,NA
"8","mmm","bglm",1000,50,0,0,1000,8,8,992,173,160,0,NA
"9","mmm","bglm",1000,25,0.5,0,1000,3,3,997,33,22,0,NA
"10","mmm","bglm",1000,50,0.5,0,1000,5,5,995,199,121,0,NA
"11","mmm","bglm",1000,25,0.9,0,1000,19,14,986,75,20,0,NA
"12","mmm","bglm",1000,50,0.9,0,1000,21,13,987,502,132,0,NA
"13","mmm","bglm",1000,25,0,0,1000,2,2,998,12,12,0,NA
"14","mmm","bglm",1000,50,0,0,1000,5,5,995,168,153,0,NA
"15","mmm","bglm",1000,25,0.5,0,1000,2,2,998,17,15,0,NA
"16","mmm","bglm",1000,50,0.5,0,1000,9,7,993,196,121,0,NA
"17","mmm","bglm",1000,25,0.9,0,1000,6,4,996,80,26,0,NA
"18","mmm","bglm",1000,50,0.9,0,1000,20,16,984,392,112,0,NA
"19","mmm","bglm",1000,25,0,0,1000,1,1,999,17,17,0,NA
"20","mmm","bglm",1000,50,0,0,1000,6,6,994,179,166,0,NA
"21","mmm","bglm",1000,25,0.5,0,1000,6,6,994,13,13,0,NA
"22","mmm","bglm",1000,50,0.5,0,1000,4,4,996,208,133,0,NA
"23","mmm","bglm",1000,25,0.9,0,1000,21,15,985,58,17,0,NA
"24","mmm","bglm",1000,50,0.9,0,1000,18,12,988,402,111,0,NA
"25","mmm","bglm",1000,25,0,0,1000,5,4,996,18,18,0,NA
"26","mmm","bglm",1000,50,0,0,1000,5,5,995,166,152,0,NA
"27","mmm","bglm",1000,25,0.5,0,1000,2,2,998,20,18,0,NA
"28","mmm","bglm",1000,50,0.5,0,1000,7,6,994,208,134,0,NA
"29","mmm","bglm",1000,25,0.9,0,1000,6,6,994,79,21,0,NA
"30","mmm","bglm",1000,50,0.9,0,1000,21,14,986,399,108,0,NA
"31","mmm","bglm",1000,25,0,0,1000,5,4,996,16,16,0,NA
"32","mmm","bglm",1000,50,0,0,1000,10,9,991,166,153,0,NA
"33","mmm","bglm",1000,25,0.5,0,1000,5,5,995,28,24,0,NA
"34","mmm","bglm",1000,50,0.5,0,1000,5,5,995,216,128,0,NA
"35","mmm","bglm",1000,25,0.9,0,1000,15,10,990,59,16,0,NA
"36","mmm","bglm",1000,50,0.9,0,1000,27,18,982,488,114,0,NA
"37","mmm","bglm",1000,25,0,0,1000,2,2,998,10,10,0,NA
"38","mmm","bglm",1000,50,0,0,1000,5,5,995,163,152,0,NA
"39","mmm","bglm",1000,25,0.5,0,1000,3,3,997,11,10,0,NA
"40","mmm","bglm",1000,50,0.5,0,1000,10,10,990,203,133,0,NA
"41","mmm","bglm",1000,25,0.9,0,1000,9,6,994,67,23,0,NA
"42","mmm","bglm",1000,50,0.9,0,1000,19,13,987,449,122,0,NA
"43","mmm","bglm",1000,25,0,0,1000,5,5,995,11,11,0,NA
"44","mmm","bglm",1000,50,0,0,1000,9,8,992,148,130,0,NA
"45","mmm","bglm",1000,25,0.5,0,1000,5,5,995,9,9,0,NA
"46","mmm","bglm",1000,50,0.5,0,1000,5,5,995,188,121,0,NA
"47","mmm","bglm",1000,25,0.9,0,1000,8,7,993,42,14,0,NA
"48","mmm","bglm",1000,50,0.9,0,1000,17,13,987,375,108,0,NA
"49","mmm","bglm",1000,25,0,0,1000,7,7,993,9,9,0,NA
"50","mmm","bglm",1000,50,0,0,1000,3,3,997,190,177,0,NA
"51","mmm","bglm",1000,25,0.5,0,1000,3,3,997,15,11,0,NA
"52","mmm","bglm",1000,50,0.5,0,1000,10,9,991,209,132,0,NA
"53","mmm","bglm",1000,25,0.9,0,1000,18,15,985,89,27,0,NA
"54","mmm","bglm",1000,50,0.9,0,1000,19,11,989,431,109,0,NA
"55","mmm","bglm",1000,25,0,0,1000,1,1,999,15,15,0,NA
"56","mmm","bglm",1000,50,0,0,1000,5,5,995,177,160,0,NA
"57","mmm","bglm",1000,25,0.5,0,1000,5,5,995,25,21,0,NA
"58","mmm","bglm",1000,50,0.5,0,1000,2,2,998,220,135,0,NA
"59","mmm","bglm",1000,25,0.9,0,1000,10,8,992,43,20,0,NA
"60","mmm","bglm",1000,50,0.9,0,1000,25,14,986,501,132,0,NA
"61","bonf","glm",1000,25,0,0,1000,5,5,995,0,0,0,1
"62","bt","glm",1000,25,0,0,1000,42,38,962,42,41,0,2
"63","bonf","bglm",1000,25,0,0,1000,1,1,999,24,23,0,3
"64","bt","bglm",1000,25,0,0,1000,42,37,963,237,203,0,4
"65","bonf","glm",1000,50,0,0,1000,10,10,990,53,53,0,5
"66","bt","glm",1000,50,0,0,1000,22,22,978,370,311,0,6
"67","bonf","bglm",1000,50,0,0,1000,2,2,998,153,142,0,7
"68","bt","bglm",1000,50,0,0,1000,21,20,980,564,428,0,8
"69","bonf","glm",1000,25,0.5,0,1000,6,6,994,1,1,0,9
"70","bt","glm",1000,25,0.5,0,1000,41,36,964,50,42,0,10
"71","bonf","bglm",1000,25,0.5,0,1000,5,5,995,13,12,0,11
"72","bt","bglm",1000,25,0.5,0,1000,33,31,969,270,171,0,12
"73","bonf","glm",1000,50,0.5,0,1000,4,4,996,56,43,0,13
"74","bt","glm",1000,50,0.5,0,1000,31,27,973,437,244,0,14
"75","bonf","bglm",1000,50,0.5,0,1000,5,4,996,139,95,0,15
"76","bt","bglm",1000,50,0.5,0,1000,22,22,978,645,327,0,16
"77","bonf","glm",1000,25,0.9,0,1000,8,6,994,1,1,0,17
"78","bt","glm",1000,25,0.9,0,1000,69,41,959,106,28,0,18
"79","bonf","bglm",1000,25,0.9,0,1000,5,3,997,22,8,0,19
"80","bt","bglm",1000,25,0.9,0,1000,37,29,971,362,105,0,20
"81","bonf","glm",1000,50,0.9,0,1000,5,4,996,32,10,0,21
"82","bt","glm",1000,50,0.9,0,1000,36,25,975,698,174,0,22
"83","bonf","bglm",1000,50,0.9,0,1000,0,0,1000,135,38,0,23
"84","bt","bglm",1000,50,0.9,0,1000,36,23,977,801,190,0,24
"85","bonf","glm",1000,25,0,0,1000,7,7,993,0,0,0,25
"86","bt","glm",1000,25,0,0,1000,45,42,958,46,45,0,26
"87","bonf","bglm",1000,25,0,0,1000,7,7,993,10,10,0,27
"88","bt","bglm",1000,25,0,0,1000,34,34,966,255,225,0,28
"89","bonf","glm",1000,50,0,0,1000,10,10,990,39,39,0,29
"90","bt","glm",1000,50,0,0,1000,26,24,976,402,338,0,30
"91","bonf","bglm",1000,50,0,0,1000,5,5,995,153,141,0,31
"92","bt","bglm",1000,50,0,0,1000,20,20,980,557,432,0,32
"93","bonf","glm",1000,25,0.5,0,1000,2,2,998,0,0,0,33
"94","bt","glm",1000,25,0.5,0,1000,37,31,969,19,14,0,34
"95","bonf","bglm",1000,25,0.5,0,1000,4,4,996,13,13,0,35
"96","bt","bglm",1000,25,0.5,0,1000,43,38,962,265,163,0,36
"97","bonf","glm",1000,50,0.5,0,1000,14,12,988,55,39,0,37
"98","bt","glm",1000,50,0.5,0,1000,27,25,975,409,240,0,38
"99","bonf","bglm",1000,50,0.5,0,1000,6,6,994,115,84,0,39
"100","bt","bglm",1000,50,0.5,0,1000,27,27,973,639,312,0,40
"101","bonf","glm",1000,25,0.9,0,1000,3,2,998,0,0,0,41
"102","bt","glm",1000,25,0.9,0,1000,61,38,962,86,28,0,42
