"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bonf","glm",10000,0.01,3,25,0,0,0,0,0
"bonf","glm",10000,0.0625,3,25,0,0,0,85,86
"bonf","glm",10000,0.125,3,25,0,0,0,227,228
"bonf","glm",10000,0.25,3,25,0,0,0,360,367
"bonf","glm",10000,0.375,3,25,0,0,0,335,338
"bonf","glm",10000,0.5,3,25,0,0,0,403,407
"bonf","glm",10000,0.01,5,25,0,0,0,0,0
"bonf","glm",10000,0.0625,5,25,0,0,0,68,68
"bonf","glm",10000,0.125,5,25,0,0,0,166,169
"bonf","glm",10000,0.25,5,25,0,0,0,310,314
"bonf","glm",10000,0.375,5,25,0,0,0,319,324
"bonf","glm",10000,0.5,5,25,0,0,0,329,333
"bonf","glm",10000,0.01,10,25,0,0,0,0,0
"bonf","glm",10000,0.0625,10,25,0,0,0,20,20
"bonf","glm",10000,0.125,10,25,0,0,0,156,156
"bonf","glm",10000,0.25,10,25,0,0,0,252,254
"bonf","glm",10000,0.375,10,25,0,0,0,280,284
"bonf","glm",10000,0.5,10,25,0,0,0,305,306
"bonf","glm",10000,0.01,3,50,0,0,0,2,2
"bonf","glm",10000,0.0625,3,50,0,0,0,223,225
"bonf","glm",10000,0.125,3,50,0,0,0,328,334
"bonf","glm",10000,0.25,3,50,0,0,0,405,410
"bonf","glm",10000,0.375,3,50,0,0,0,405,411
"bonf","glm",10000,0.5,3,50,0,0,0,414,420
"bonf","glm",10000,0.01,5,50,0,0,0,0,0
"bonf","glm",10000,0.0625,5,50,0,0,0,147,147
"bonf","glm",10000,0.125,5,50,0,0,0,307,312
"bonf","glm",10000,0.25,5,50,0,0,0,371,378
"bonf","glm",10000,0.375,5,50,0,0,0,390,394
"bonf","glm",10000,0.5,5,50,0,0,0,429,440
"bonf","glm",10000,0.01,10,50,0,0,0,0,0
"bonf","glm",10000,0.0625,10,50,0,0,0,131,132
"bonf","glm",10000,0.125,10,50,0,0,0,243,248
"bonf","glm",10000,0.25,10,50,0,0,0,329,335
"bonf","glm",10000,0.375,10,50,0,0,0,402,407
"bonf","glm",10000,0.5,10,50,0,0,0,447,453
"bonf","glm",10000,0.01,3,100,0,0,0,18,18
"bonf","glm",10000,0.0625,3,100,0,0,0,308,309
"bonf","glm",10000,0.125,3,100,0,0,0,386,395
"bonf","glm",10000,0.25,3,100,0,0,0,399,405
"bonf","glm",10000,0.375,3,100,0,0,0,456,460
"bonf","glm",10000,0.5,3,100,0,0,0,425,434
"bonf","glm",10000,0.01,5,100,0,0,0,6,6
"bonf","glm",10000,0.0625,5,100,0,0,0,300,306
"bonf","glm",10000,0.125,5,100,0,0,0,399,407
"bonf","glm",10000,0.25,5,100,0,0,0,406,417
"bonf","glm",10000,0.375,5,100,0,0,0,426,435
"bonf","glm",10000,0.5,5,100,0,0,0,456,468
"bonf","glm",10000,0.01,10,100,0,0,0,4,4
"bonf","glm",10000,0.0625,10,100,0,0,0,263,266
"bonf","glm",10000,0.125,10,100,0,0,0,429,437
"bonf","glm",10000,0.25,10,100,0,0,0,444,450
"bonf","glm",10000,0.375,10,100,0,0,0,430,437
"bonf","glm",10000,0.5,10,100,0,0,0,468,480
"bonf","glm",10000,0.01,3,25,0.5,0,0,0,0
"bonf","glm",10000,0.0625,3,25,0.5,0,0,87,96
"bonf","glm",10000,0.125,3,25,0.5,0,0,225,242
