"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"1","bt","bglm",209,0.01,3,25,0,0,0,6,6
"2","bt","bglm",209,0.0625,3,25,0,0,0,5,5
"3","bt","bglm",209,0.125,3,25,0,0,0,10,10
"4","bt","bglm",209,0.25,3,25,0,0,0,8,8
"5","bt","bglm",209,0.375,3,25,0,0,0,6,7
"6","bt","bglm",209,0.5,3,25,0,0,0,11,11
"7","bt","bglm",209,0.01,5,25,0,0,0,6,6
"8","bt","bglm",209,0.0625,5,25,0,0,0,9,10
"9","bt","bglm",209,0.125,5,25,0,0,0,10,12
"10","bt","bglm",209,0.25,5,25,0,0,0,13,13
"11","bt","bglm",209,0.375,5,25,0,0,0,10,10
"12","bt","bglm",209,0.5,5,25,0,0,0,7,7
"13","bt","bglm",209,0.01,10,25,0,0,0,1,1
"14","bt","bglm",209,0.0625,10,25,0,0,0,6,6
"15","bt","bglm",209,0.125,10,25,0,0,0,15,15
"16","bt","bglm",209,0.25,10,25,0,0,0,8,8
"17","bt","bglm",209,0.375,10,25,0,0,0,11,11
"18","bt","bglm",209,0.5,10,25,0,0,0,9,9
"19","bt","bglm",209,0.01,3,50,0,0,0,9,9
"20","bt","bglm",209,0.0625,3,50,0,0,0,3,3
"21","bt","bglm",209,0.125,3,50,0,0,0,10,10
"22","bt","bglm",209,0.25,3,50,0,0,0,16,16
"23","bt","bglm",209,0.375,3,50,0,0,0,10,10
"24","bt","bglm",209,0.5,3,50,0,0,0,15,15
"25","bt","bglm",209,0.01,5,50,0,0,0,14,14
"26","bt","bglm",209,0.0625,5,50,0,0,0,7,7
"27","bt","bglm",209,0.125,5,50,0,0,0,8,8
"28","bt","bglm",209,0.25,5,50,0,0,0,10,10
"29","bt","bglm",209,0.375,5,50,0,0,0,14,14
"30","bt","bglm",209,0.5,5,50,0,0,0,9,9
"31","bt","bglm",209,0.01,10,50,0,0,0,9,9
"32","bt","bglm",209,0.0625,10,50,0,0,0,16,17
"33","bt","bglm",209,0.125,10,50,0,0,0,13,13
"34","bt","bglm",209,0.25,10,50,0,0,0,8,8
"35","bt","bglm",209,0.375,10,50,0,0,0,7,7
"36","bt","bglm",209,0.5,10,50,0,0,0,9,9
"37","bt","bglm",209,0.01,3,100,0,0,0,14,14
"38","bt","bglm",209,0.0625,3,100,0,0,0,19,19
"39","bt","bglm",209,0.125,3,100,0,0,0,6,6
"40","bt","bglm",209,0.25,3,100,0,0,0,10,10
"41","bt","bglm",209,0.375,3,100,0,0,0,12,13
"42","bt","bglm",209,0.5,3,100,0,0,0,5,5
"43","bt","bglm",209,0.01,5,100,0,0,0,8,8
"44","bt","bglm",209,0.0625,5,100,0,0,0,9,9
"45","bt","bglm",209,0.125,5,100,0,0,0,6,6
"46","bt","bglm",209,0.25,5,100,0,0,0,9,9
"47","bt","bglm",209,0.375,5,100,0,0,0,15,15
"48","bt","bglm",209,0.5,5,100,0,0,0,7,7
"49","bt","bglm",209,0.01,10,100,0,0,0,7,7
"50","bt","bglm",209,0.0625,10,100,0,0,0,12,12
"51","bt","bglm",209,0.125,10,100,0,0,0,16,17
"52","bt","bglm",209,0.25,10,100,0,0,0,11,11
"53","bt","bglm",209,0.375,10,100,0,0,0,9,9
"54","bt","bglm",209,0.5,10,100,0,0,0,9,9
"55","bt","bglm",209,0.01,3,25,0.5,0,0,5,6
"56","bt","bglm",209,0.0625,3,25,0.5,0,0,10,10
"57","bt","bglm",209,0.125,3,25,0.5,0,0,13,13
"58","bt","bglm",209,0.25,3,25,0.5,0,0,8,10
