"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"1","bt","glm",185,0.01,3,25,0,0,0,3,3
"2","bt","glm",185,0.0625,3,25,0,0,0,10,10
"3","bt","glm",185,0.125,3,25,0,0,0,7,7
"4","bt","glm",185,0.25,3,25,0,0,0,9,10
"5","bt","glm",185,0.375,3,25,0,0,0,11,11
"6","bt","glm",185,0.5,3,25,0,0,0,8,8
"7","bt","glm",185,0.01,5,25,0,0,0,2,2
"8","bt","glm",185,0.0625,5,25,0,0,0,8,8
"9","bt","glm",185,0.125,5,25,0,0,0,7,7
"10","bt","glm",185,0.25,5,25,0,0,0,11,11
"11","bt","glm",185,0.375,5,25,0,0,0,9,9
"12","bt","glm",185,0.5,5,25,0,0,0,11,12
"13","bt","glm",185,0.01,10,25,0,0,0,0,0
"14","bt","glm",185,0.0625,10,25,0,0,0,4,4
"15","bt","glm",185,0.125,10,25,0,0,0,9,9
"16","bt","glm",185,0.25,10,25,0,0,0,5,5
"17","bt","glm",185,0.375,10,25,0,0,0,14,15
"18","bt","glm",185,0.5,10,25,0,0,0,10,10
"19","bt","glm",185,0.01,3,50,0,0,0,9,9
"20","bt","glm",185,0.0625,3,50,0,0,0,8,8
"21","bt","glm",185,0.125,3,50,0,0,0,6,7
"22","bt","glm",185,0.25,3,50,0,0,0,14,14
"23","bt","glm",185,0.375,3,50,0,0,0,11,11
"24","bt","glm",185,0.5,3,50,0,0,0,6,6
"25","bt","glm",185,0.01,5,50,0,0,0,6,6
"26","bt","glm",185,0.0625,5,50,0,0,0,10,10
"27","bt","glm",185,0.125,5,50,0,0,0,6,7
"28","bt","glm",185,0.25,5,50,0,0,0,13,13
"29","bt","glm",185,0.375,5,50,0,0,0,9,9
"30","bt","glm",185,0.5,5,50,0,0,0,13,13
"31","bt","glm",185,0.01,10,50,0,0,0,4,4
"32","bt","glm",185,0.0625,10,50,0,0,0,8,8
"33","bt","glm",185,0.125,10,50,0,0,0,9,9
"34","bt","glm",185,0.25,10,50,0,0,0,8,9
"35","bt","glm",185,0.375,10,50,0,0,0,11,11
"36","bt","glm",185,0.5,10,50,0,0,0,9,9
"37","bt","glm",185,0.01,3,100,0,0,0,9,9
"38","bt","glm",185,0.0625,3,100,0,0,0,9,9
"39","bt","glm",185,0.125,3,100,0,0,0,9,9
"40","bt","glm",185,0.25,3,100,0,0,0,11,12
"41","bt","glm",185,0.375,3,100,0,0,0,13,13
"42","bt","glm",185,0.5,3,100,0,0,0,10,11
"43","bt","glm",185,0.01,5,100,0,0,0,8,8
"44","bt","glm",185,0.0625,5,100,0,0,0,6,7
"45","bt","glm",185,0.125,5,100,0,0,0,11,11
"46","bt","glm",185,0.25,5,100,0,0,0,5,5
"47","bt","glm",185,0.375,5,100,0,0,0,12,13
"48","bt","glm",185,0.5,5,100,0,0,0,10,10
"49","bt","glm",185,0.01,10,100,0,0,0,4,4
"50","bt","glm",185,0.0625,10,100,0,0,0,8,8
"51","bt","glm",185,0.125,10,100,0,0,0,5,5
"52","bt","glm",185,0.25,10,100,0,0,0,8,9
"53","bt","glm",185,0.375,10,100,0,0,0,7,7
"54","bt","glm",185,0.5,10,100,0,0,0,6,6
"55","bt","glm",185,0.01,3,25,0.5,0,0,2,2
"56","bt","glm",185,0.0625,3,25,0.5,0,0,9,12
"57","bt","glm",185,0.125,3,25,0.5,0,0,8,10
"58","bt","glm",185,0.25,3,25,0.5,0,0,7,7
"59","bt","glm",185,0.375,3,25,0.5,0,0,5,6
"60","bt","glm",185,0.5,3,25,0.5,0,0,10,12
"61","bt","glm",185,0.01,5,25,0.5,0,0,2,2
"62","bt","glm",185,0.0625,5,25,0.5,0,0,8,11
"63","bt","glm",185,0.125,5,25,0.5,0,0,5,7
"64","bt","glm",185,0.25,5,25,0.5,0,0,17,22
"65","bt","glm",185,0.375,5,25,0.5,0,0,6,6
"66","bt","glm",185,0.5,5,25,0.5,0,0,5,6
"67","bt","glm",185,0.01,10,25,0.5,0,0,3,6
"68","bt","glm",185,0.0625,10,25,0.5,0,0,9,12
"69","bt","glm",185,0.125,10,25,0.5,0,0,13,15
"70","bt","glm",185,0.25,10,25,0.5,0,0,7,8
"71","bt","glm",185,0.375,10,25,0.5,0,0,10,16
"72","bt","glm",185,0.5,10,25,0.5,0,0,7,8
"73","bt","glm",185,0.01,3,50,0.5,0,0,3,3
"74","bt","glm",185,0.0625,3,50,0.5,0,0,10,12
"75","bt","glm",185,0.125,3,50,0.5,0,0,10,11
"76","bt","glm",185,0.25,3,50,0.5,0,0,14,16
"77","bt","glm",185,0.375,3,50,0.5,0,0,7,8
"78","bt","glm",185,0.5,3,50,0.5,0,0,7,7
"79","bt","glm",185,0.01,5,50,0.5,0,0,3,5
"80","bt","glm",185,0.0625,5,50,0.5,0,0,13,16
"81","bt","glm",185,0.125,5,50,0.5,0,0,14,15
"82","bt","glm",185,0.25,5,50,0.5,0,0,9,9
"83","bt","glm",185,0.375,5,50,0.5,0,0,15,19
"84","bt","glm",185,0.5,5,50,0.5,0,0,10,10
"85","bt","glm",185,0.01,10,50,0.5,0,0,3,4
"86","bt","glm",185,0.0625,10,50,0.5,0,0,11,15
"87","bt","glm",185,0.125,10,50,0.5,0,0,10,13
"88","bt","glm",185,0.25,10,50,0.5,0,0,6,7
"89","bt","glm",185,0.375,10,50,0.5,0,0,7,10
"90","bt","glm",185,0.5,10,50,0.5,0,0,10,16
"91","bt","glm",185,0.01,3,100,0.5,0,0,5,5
"92","bt","glm",185,0.0625,3,100,0.5,0,0,9,10
"93","bt","glm",185,0.125,3,100,0.5,0,0,7,7
"94","bt","glm",185,0.25,3,100,0.5,0,0,8,9
"95","bt","glm",185,0.375,3,100,0.5,0,0,6,7
"96","bt","glm",185,0.5,3,100,0.5,0,0,8,9
"97","bt","glm",185,0.01,5,100,0.5,0,0,5,7
"98","bt","glm",185,0.0625,5,100,0.5,0,0,16,21
"99","bt","glm",185,0.125,5,100,0.5,0,0,9,12
"100","bt","glm",185,0.25,5,100,0.5,0,0,10,11
"101","bt","glm",185,0.375,5,100,0.5,0,0,12,13
"102","bt","glm",185,0.5,5,100,0.5,0,0,10,11
"103","bt","glm",185,0.01,10,100,0.5,0,0,9,14
"104","bt","glm",185,0.0625,10,100,0.5,0,0,15,23
"105","bt","glm",185,0.125,10,100,0.5,0,0,7,8
"106","bt","glm",185,0.25,10,100,0.5,0,0,12,19
"107","bt","glm",185,0.375,10,100,0.5,0,0,8,9
"108","bt","glm",185,0.5,10,100,0.5,0,0,10,10
"109","bt","glm",185,0.01,3,25,0.9,0,0,2,4
"110","bt","glm",185,0.0625,3,25,0.9,0,0,7,16
"111","bt","glm",185,0.125,3,25,0.9,0,0,8,14
"112","bt","glm",185,0.25,3,25,0.9,0,0,9,18
"113","bt","glm",185,0.375,3,25,0.9,0,0,12,20
"114","bt","glm",185,0.5,3,25,0.9,0,0,9,18
"115","bt","glm",185,0.01,5,25,0.9,0,0,1,4
"116","bt","glm",185,0.0625,5,25,0.9,0,0,18,40
"117","bt","glm",185,0.125,5,25,0.9,0,0,16,38
"118","bt","glm",185,0.25,5,25,0.9,0,0,7,21
"119","bt","glm",185,0.375,5,25,0.9,0,0,8,23
"120","bt","glm",185,0.5,5,25,0.9,0,0,11,33
"121","bt","glm",185,0.01,10,25,0.9,0,0,1,7
"122","bt","glm",185,0.0625,10,25,0.9,0,0,15,55
"123","bt","glm",185,0.125,10,25,0.9,0,0,5,14
"124","bt","glm",185,0.25,10,25,0.9,0,0,6,14
"125","bt","glm",185,0.375,10,25,0.9,0,0,6,22
"126","bt","glm",185,0.5,10,25,0.9,0,0,11,40
"127","bt","glm",185,0.01,3,50,0.9,0,0,6,10
"128","bt","glm",185,0.0625,3,50,0.9,0,0,12,26
"129","bt","glm",185,0.125,3,50,0.9,0,0,5,9
"130","bt","glm",185,0.25,3,50,0.9,0,0,11,22
"131","bt","glm",185,0.375,3,50,0.9,0,0,10,21
"132","bt","glm",185,0.5,3,50,0.9,0,0,8,15
"133","bt","glm",185,0.01,5,50,0.9,0,0,4,14
"134","bt","glm",185,0.0625,5,50,0.9,0,0,16,45
"135","bt","glm",185,0.125,5,50,0.9,0,0,10,17
"136","bt","glm",185,0.25,5,50,0.9,0,0,13,33
"137","bt","glm",185,0.375,5,50,0.9,0,0,9,22
"138","bt","glm",185,0.5,5,50,0.9,0,0,11,30
"139","bt","glm",185,0.01,10,50,0.9,0,0,4,25
"140","bt","glm",185,0.0625,10,50,0.9,0,0,9,14
"141","bt","glm",185,0.125,10,50,0.9,0,0,9,26
"142","bt","glm",185,0.25,10,50,0.9,0,0,12,36
"143","bt","glm",185,0.375,10,50,0.9,0,0,4,16
"144","bt","glm",185,0.5,10,50,0.9,0,0,10,36
"145","bt","glm",185,0.01,3,100,0.9,0,0,11,23
"146","bt","glm",185,0.0625,3,100,0.9,0,0,12,22
"147","bt","glm",185,0.125,3,100,0.9,0,0,8,20
"148","bt","glm",185,0.25,3,100,0.9,0,0,13,19
"149","bt","glm",185,0.375,3,100,0.9,0,0,8,14
"150","bt","glm",185,0.5,3,100,0.9,0,0,4,6
"151","bt","glm",185,0.01,5,100,0.9,0,0,12,39
"152","bt","glm",185,0.0625,5,100,0.9,0,0,9,21
"153","bt","glm",185,0.125,5,100,0.9,0,0,12,26
"154","bt","glm",185,0.25,5,100,0.9,0,0,9,16
"155","bt","glm",185,0.375,5,100,0.9,0,0,6,14
"156","bt","glm",185,0.5,5,100,0.9,0,0,10,22
