"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"mmm","glm",10000,0.01,3,25,0,0,1862,0,0
"mmm","glm",10000,0.0625,3,25,0,0,98,79,79
"mmm","glm",10000,0.125,3,25,0,0,0,271,276
"mmm","glm",10000,0.25,3,25,0,0,0,388,394
"mmm","glm",10000,0.375,3,25,0,0,0,396,402
"mmm","glm",10000,0.5,3,25,0,0,0,435,440
"mmm","glm",10000,0.01,5,25,0,0,2895,0,0
"mmm","glm",10000,0.0625,5,25,0,0,138,54,56
"mmm","glm",10000,0.125,5,25,0,0,1,209,211
"mmm","glm",10000,0.25,5,25,0,0,0,371,375
"mmm","glm",10000,0.375,5,25,0,0,0,401,405
"mmm","glm",10000,0.5,5,25,0,0,0,429,435
"mmm","glm",10000,0.01,10,25,0,0,4915,0,0
"mmm","glm",10000,0.0625,10,25,0,0,287,18,18
"mmm","glm",10000,0.125,10,25,0,0,2,161,161
"mmm","glm",10000,0.25,10,25,0,0,0,280,284
"mmm","glm",10000,0.375,10,25,0,0,0,384,393
"mmm","glm",10000,0.5,10,25,0,0,0,384,390
"mmm","glm",10000,0.01,3,50,0,0,1172,0,0
"mmm","glm",10000,0.0625,3,50,0,0,0,264,267
"mmm","glm",10000,0.125,3,50,0,0,0,405,409
"mmm","glm",10000,0.25,3,50,0,0,0,459,466
"mmm","glm",10000,0.375,3,50,0,0,0,469,473
"mmm","glm",10000,0.5,3,50,0,0,0,460,465
"mmm","glm",10000,0.01,5,50,0,0,1764,0,0
"mmm","glm",10000,0.0625,5,50,0,0,2,182,182
"mmm","glm",10000,0.125,5,50,0,0,0,340,342
"mmm","glm",10000,0.25,5,50,0,0,0,420,426
"mmm","glm",10000,0.375,5,50,0,0,0,470,484
"mmm","glm",10000,0.5,5,50,0,0,0,444,456
"mmm","glm",10000,0.01,10,50,0,0,3293,0,0
"mmm","glm",10000,0.0625,10,50,0,0,0,149,149
"mmm","glm",10000,0.125,10,50,0,0,0,348,354
"mmm","glm",10000,0.25,10,50,0,0,0,403,413
"mmm","glm",10000,0.375,10,50,0,0,0,407,413
"mmm","glm",10000,0.5,10,50,0,0,0,409,420
"mmm","glm",10000,0.01,3,100,0,0,211,12,12
"mmm","glm",10000,0.0625,3,100,0,0,0,417,422
"mmm","glm",10000,0.125,3,100,0,0,0,460,466
"mmm","glm",10000,0.25,3,100,0,0,0,495,500
"mmm","glm",10000,0.375,3,100,0,0,0,494,501
"mmm","glm",10000,0.5,3,100,0,0,0,511,520
"mmm","glm",10000,0.01,5,100,0,0,385,8,8
"mmm","glm",10000,0.0625,5,100,0,0,0,388,390
"mmm","glm",10000,0.125,5,100,0,0,0,432,447
"mmm","glm",10000,0.25,5,100,0,0,0,456,461
"mmm","glm",10000,0.375,5,100,0,0,0,458,463
"mmm","glm",10000,0.5,5,100,0,0,0,486,492
"mmm","glm",10000,0.01,10,100,0,0,710,1,1
"mmm","glm",10000,0.0625,10,100,0,0,0,300,306
"mmm","glm",10000,0.125,10,100,0,0,0,412,418
"mmm","glm",10000,0.25,10,100,0,0,0,434,445
"mmm","glm",10000,0.375,10,100,0,0,0,465,475
"mmm","glm",10000,0.5,10,100,0,0,0,459,466
"mmm","glm",10000,0.01,3,25,0.5,0,1384,1,1
"mmm","glm",10000,0.0625,3,25,0.5,0,74,93,101
"mmm","glm",10000,0.125,3,25,0.5,0,0,290,332
