"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,25,0.1,8,2,0.001,0,0,0,68,68,9932,15,15,0
"bonf","glm",10000,50,0.1,8,2,0.001,0,0,0,181,180,9820,46,46,0
"bonf","glm",10000,100,0.1,8,2,0.001,0,0,0,328,321,9679,89,89,0
"bonf","glm",10000,25,0.1,2,8,0.001,0,0,0,9,9,9991,79,78,0
"bonf","glm",10000,50,0.1,2,8,0.001,0,0,0,46,46,9954,193,191,0
"bonf","glm",10000,100,0.1,2,8,0.001,0,0,0,61,61,9939,279,276,0
"bonf","glm",10000,25,0.1,8,2,0.025,0,0,0,73,71,9929,42,42,0
"bonf","glm",10000,50,0.1,8,2,0.025,0,0,0,185,184,9816,131,131,0
"bonf","glm",10000,100,0.1,8,2,0.025,0,0,0,295,287,9713,244,242,2
"bonf","glm",10000,25,0.1,2,8,0.025,0,0,0,21,21,9979,188,188,0
"bonf","glm",10000,50,0.1,2,8,0.025,0,0,0,32,32,9968,473,464,0
"bonf","glm",10000,100,0.1,2,8,0.025,0,0,0,87,87,9913,992,960,0
"bonf","glm",10000,25,0.1,8,2,0.05,0,0,0,77,77,9923,137,137,0
"bonf","glm",10000,50,0.1,8,2,0.05,0,0,0,153,153,9847,379,376,3
"bonf","glm",10000,100,0.1,8,2,0.05,0,0,0,316,311,9689,1142,1107,35
"bonf","glm",10000,25,0.1,2,8,0.05,0,0,0,18,18,9982,605,587,0
"bonf","glm",10000,50,0.1,2,8,0.05,0,0,0,48,48,9952,1601,1507,0
"bonf","glm",10000,100,0.1,2,8,0.05,0,0,0,72,72,9928,4529,3736,0
"bonf","glm",10000,25,0.1,8,2,0.075,0,0,0,67,67,9933,382,378,4
"bonf","glm",10000,50,0.1,8,2,0.075,0,0,0,178,174,9826,1254,1221,33
"bonf","glm",10000,100,0.1,8,2,0.075,0,0,0,302,300,9700,3666,3312,354
"bonf","glm",10000,25,0.1,2,8,0.075,0,0,0,24,24,9976,1616,1503,0
