"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","bt","glm",167,25,0.1,8,2,0.001,0,0,0,3,3,164,1,1,0
"2","bt","glm",167,50,0.1,8,2,0.001,0,0,0,8,8,159,3,3,0
"3","bt","glm",167,100,0.1,8,2,0.001,0,0,0,7,7,160,1,1,0
"4","bt","glm",167,25,0.1,2,8,0.001,0,0,0,2,2,165,4,4,0
"5","bt","glm",167,50,0.1,2,8,0.001,0,0,0,5,5,162,6,6,0
"6","bt","glm",167,100,0.1,2,8,0.001,0,0,0,3,3,164,3,3,0
"7","bt","glm",167,25,0.1,8,2,0.025,0,0,0,5,5,162,9,9,0
"8","bt","glm",167,50,0.1,8,2,0.025,0,0,0,4,4,163,3,3,0
"9","bt","glm",167,100,0.1,8,2,0.025,0,0,0,5,5,162,9,9,0
"10","bt","glm",167,25,0.1,2,8,0.025,0,0,0,4,4,163,16,16,0
"11","bt","glm",167,50,0.1,2,8,0.025,0,0,0,1,1,166,19,18,0
"12","bt","glm",167,100,0.1,2,8,0.025,0,0,0,2,2,165,21,20,0
"13","bt","glm",167,25,0.1,8,2,0.05,0,0,0,6,6,161,7,7,0
"14","bt","glm",167,50,0.1,8,2,0.05,0,0,0,7,6,161,17,17,0
"15","bt","glm",167,100,0.1,8,2,0.05,0,0,0,10,9,158,25,24,1
"16","bt","glm",167,25,0.1,2,8,0.05,0,0,0,1,1,166,29,27,0
"17","bt","glm",167,50,0.1,2,8,0.05,0,0,0,1,1,166,53,49,0
"18","bt","glm",167,100,0.1,2,8,0.05,0,0,0,2,2,165,104,81,0
"19","bt","glm",167,25,0.1,8,2,0.075,0,0,0,6,6,161,17,17,0
"20","bt","glm",167,50,0.1,8,2,0.075,0,0,0,6,6,161,39,39,0
"21","bt","glm",167,100,0.1,8,2,0.075,0,0,0,9,9,158,90,76,14
"22","bt","glm",167,25,0.1,2,8,0.075,0,0,0,3,3,164,71,61,0
"23","bt","glm",167,50,0.1,2,8,0.075,0,0,0,1,1,166,141,88,0
"24","bt","glm",167,100,0.1,2,8,0.075,0,0,0,2,2,165,271,145,0
"25","bt","glm",167,25,0.1,8,2,0.1,0,0,0,11,10,157,39,35,4
"26","bt","glm",167,50,0.1,8,2,0.1,0,0,0,3,3,164,91,78,13
"27","bt","glm",167,100,0.1,8,2,0.1,0,0,0,9,9,158,154,118,36
"28","bt","glm",167,25,0.1,2,8,0.1,0,0,0,2,2,165,137,95,0
"29","bt","glm",167,50,0.1,2,8,0.1,0,0,0,1,1,166,310,140,0
"30","bt","glm",167,100,0.1,2,8,0.1,0,0,0,2,2,165,690,166,1
"31","bt","glm",167,25,0.1,8,2,0.125,0,0,0,5,5,162,87,77,10
"32","bt","glm",167,50,0.1,8,2,0.125,0,0,0,8,8,159,152,113,39
"33","bt","glm",167,100,0.1,8,2,0.125,0,0,0,9,9,158,279,165,114
"34","bt","glm",167,25,0.1,2,8,0.125,0,0,0,1,1,166,267,139,0
"35","bt","glm",167,50,0.1,2,8,0.125,0,0,0,1,1,166,563,164,0
"36","bt","glm",167,100,0.1,2,8,0.125,0,0,0,3,3,164,1063,167,20
"37","bt","glm",167,25,0.1,8,2,0.15,0,0,0,6,6,161,129,105,24
"38","bt","glm",167,50,0.1,8,2,0.15,0,0,0,7,6,161,223,149,74
"39","bt","glm",167,100,0.1,8,2,0.15,0,0,0,4,4,163,327,167,160
"40","bt","glm",167,25,0.1,2,8,0.15,0,0,0,0,0,167,455,164,0
"41","bt","glm",167,50,0.1,2,8,0.15,0,0,0,1,1,166,919,167,8
"42","bt","glm",167,100,0.1,2,8,0.15,0,0,0,1,1,166,1291,167,128
"43","bt","glm",167,25,0.1,8,2,0.175,0,0,0,3,3,164,197,138,59
"44","bt","glm",167,50,0.1,8,2,0.175,0,0,0,8,8,159,289,161,128
"45","bt","glm",167,100,0.1,8,2,0.175,0,0,0,4,4,163,332,167,165
"46","bt","glm",167,25,0.1,2,8,0.175,0,0,0,1,1,166,699,167,1
"47","bt","glm",167,50,0.1,2,8,0.175,0,0,0,0,0,167,1155,167,56
"48","bt","glm",167,100,0.1,2,8,0.175,0,0,0,4,4,163,1329,167,160
"49","bt","glm",167,25,0.1,8,2,0.2,0,0,0,9,9,158,237,153,84
"50","bt","glm",167,50,0.1,8,2,0.2,0,0,0,10,10,157,323,167,156
"51","bt","glm",167,100,0.1,8,2,0.2,0,0,0,5,5,162,334,167,167
"52","bt","glm",167,25,0.1,2,8,0.2,0,0,0,1,1,166,951,167,9
"53","bt","glm",167,50,0.1,2,8,0.2,0,0,0,4,4,163,1280,167,116
