"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","glm",10000,25,0.1,8,2,0.001,0,0,18,81,80,9902,20,20,0
"mmm","glm",10000,50,0.1,8,2,0.001,0,0,0,205,203,9797,58,58,0
"mmm","glm",10000,100,0.1,8,2,0.001,0,0,0,282,279,9721,81,81,0
"mmm","glm",10000,25,0.1,2,8,0.001,0,0,13,25,25,9962,88,88,0
"mmm","glm",10000,50,0.1,2,8,0.001,0,0,0,75,74,9926,190,187,0
"mmm","glm",10000,100,0.1,2,8,0.001,0,0,0,76,76,9924,297,291,0
"mmm","glm",10000,25,0.1,8,2,0.025,0,0,16,76,76,9908,55,55,0
"mmm","glm",10000,50,0.1,8,2,0.025,0,0,0,212,212,9788,139,139,0
"mmm","glm",10000,100,0.1,8,2,0.025,0,0,0,291,286,9714,269,269,0
"mmm","glm",10000,25,0.1,2,8,0.025,0,0,11,31,31,9958,219,217,0
"mmm","glm",10000,50,0.1,2,8,0.025,0,0,0,70,70,9930,626,612,0
"mmm","glm",10000,100,0.1,2,8,0.025,0,0,0,63,63,9937,1080,1024,0
"mmm","glm",10000,25,0.1,8,2,0.05,0,0,18,83,83,9899,167,164,3
"mmm","glm",10000,50,0.1,8,2,0.05,0,0,0,223,222,9778,497,493,4
"mmm","glm",10000,100,0.1,8,2,0.05,0,0,0,301,299,9701,1147,1109,38
"mmm","glm",10000,25,0.1,2,8,0.05,0,0,5,23,23,9972,735,711,0
"mmm","glm",10000,50,0.1,2,8,0.05,0,0,0,57,57,9943,2064,1884,0
"mmm","glm",10000,100,0.1,2,8,0.05,0,0,0,79,79,9921,4651,3785,0
"mmm","glm",10000,25,0.1,8,2,0.075,0,0,15,87,87,9898,457,454,3
"mmm","glm",10000,50,0.1,8,2,0.075,0,0,0,198,196,9804,1552,1479,73
"mmm","glm",10000,100,0.1,8,2,0.075,0,0,0,301,296,9704,3806,3426,380
"mmm","glm",10000,25,0.1,2,8,0.075,0,0,3,22,22,9975,1994,1827,0
"mmm","glm",10000,50,0.1,2,8,0.075,0,0,0,54,54,9946,5971,4582,0
"mmm","glm",10000,100,0.1,2,8,0.075,0,0,0,77,76,9924,15759,8310,0
"mmm","glm",10000,25,0.1,8,2,0.1,0,0,13,77,77,9910,1201,1156,45
"mmm","glm",10000,50,0.1,8,2,0.1,0,0,0,197,195,9805,3639,3309,330
"mmm","glm",10000,100,0.1,8,2,0.1,0,0,0,287,284,9716,9238,7118,2120
"mmm","glm",10000,25,0.1,2,8,0.1,0,0,6,26,26,9968,4638,3784,0
"mmm","glm",10000,50,0.1,2,8,0.1,0,0,0,58,58,9942,14673,7994,0
"mmm","glm",10000,100,0.1,2,8,0.1,0,0,0,70,70,9930,36934,9936,23
"mmm","glm",10000,25,0.1,8,2,0.125,0,0,8,78,78,9914,2432,2276,156
"mmm","glm",10000,50,0.1,8,2,0.125,0,0,0,203,202,9798,7545,6122,1423
"mmm","glm",10000,100,0.1,8,2,0.125,0,0,0,261,259,9741,15280,9439,5841
"mmm","glm",10000,25,0.1,2,8,0.125,0,0,0,19,19,9981,9804,6462,0
"mmm","glm",10000,50,0.1,2,8,0.125,0,0,0,44,44,9956,29522,9743,3
"mmm","glm",10000,100,0.1,2,8,0.125,0,0,0,79,79,9921,61368,10000,1192
"mmm","glm",10000,25,0.1,8,2,0.15,0,0,9,71,71,9920,4812,4225,587
"mmm","glm",10000,50,0.1,8,2,0.15,0,0,0,224,219,9781,12304,8500,3804
"mmm","glm",10000,100,0.1,8,2,0.15,0,0,0,313,310,9690,18901,9968,8933
"mmm","glm",10000,25,0.1,2,8,0.15,0,0,2,20,20,9978,18854,8820,0
"mmm","glm",10000,50,0.1,2,8,0.15,0,0,0,53,53,9947,49159,9996,187
"mmm","glm",10000,100,0.1,2,8,0.15,0,0,0,82,82,9918,75576,10000,6340
"mmm","glm",10000,25,0.1,8,2,0.175,0,0,11,78,78,9911,7906,6302,1604
"mmm","glm",10000,50,0.1,8,2,0.175,0,0,0,226,225,9775,16616,9711,6905
"mmm","glm",10000,100,0.1,8,2,0.175,0,0,0,298,296,9704,19885,10000,9885
"mmm","glm",10000,25,0.1,2,8,0.175,0,0,1,19,19,9980,32062,9822,6
"mmm","glm",10000,50,0.1,2,8,0.175,0,0,0,52,52,9948,66192,10000,2223
"mmm","glm",10000,100,0.1,2,8,0.175,0,0,0,74,74,9926,79484,10000,9501
"mmm","glm",10000,25,0.1,8,2,0.2,0,0,13,68,68,9919,11658,8316,3342
"mmm","glm",10000,50,0.1,8,2,0.2,0,0,0,225,224,9776,18871,9968,8903
"mmm","glm",10000,100,0.1,8,2,0.2,0,0,0,276,274,9726,19997,10000,9997
"mmm","glm",10000,25,0.1,2,8,0.2,0,0,2,18,18,9980,46498,9981,148
"mmm","glm",10000,50,0.1,2,8,0.2,0,0,0,48,48,9952,75653,10000,6426
"mmm","glm",10000,100,0.1,2,8,0.2,0,0,0,79,79,9921,79969,10000,9969
"mmm","glm",10000,25,0.1,8,2,0.001,0.5,0,18,135,112,9870,35,34,1
"mmm","glm",10000,50,0.1,8,2,0.001,0.5,0,0,263,221,9779,72,69,3
"mmm","glm",10000,100,0.1,8,2,0.001,0.5,0,0,372,311,9689,99,92,7
"mmm","glm",10000,25,0.1,2,8,0.001,0.5,0,15,22,22,9963,103,84,0
"mmm","glm",10000,50,0.1,2,8,0.001,0.5,0,0,69,67,9933,257,218,0
"mmm","glm",10000,100,0.1,2,8,0.001,0.5,0,0,104,101,9899,449,363,0
"mmm","glm",10000,25,0.1,8,2,0.025,0.5,0,18,105,89,9893,67,66,1
"mmm","glm",10000,50,0.1,8,2,0.025,0.5,0,0,277,231,9769,168,159,9
"mmm","glm",10000,100,0.1,8,2,0.025,0.5,0,0,399,316,9684,319,301,18
"mmm","glm",10000,25,0.1,2,8,0.025,0.5,0,8,25,23,9969,291,224,0
"mmm","glm",10000,50,0.1,2,8,0.025,0.5,0,0,66,64,9936,732,525,0
"mmm","glm",10000,100,0.1,2,8,0.025,0.5,0,0,108,104,9896,1304,915,1
"mmm","glm",10000,25,0.1,8,2,0.05,0.5,0,10,119,95,9895,248,227,21
"mmm","glm",10000,50,0.1,8,2,0.05,0.5,0,0,263,222,9778,610,556,54
"mmm","glm",10000,100,0.1,8,2,0.05,0.5,0,0,377,312,9688,1290,1131,159
"mmm","glm",10000,25,0.1,2,8,0.05,0.5,0,3,34,33,9964,907,628,0
"mmm","glm",10000,50,0.1,2,8,0.05,0.5,0,0,71,67,9933,2286,1373,2
"mmm","glm",10000,100,0.1,2,8,0.05,0.5,0,0,92,90,9910,5418,2715,10
"mmm","glm",10000,25,0.1,8,2,0.075,0.5,0,8,115,94,9898,597,542,55
"mmm","glm",10000,50,0.1,8,2,0.075,0.5,0,0,287,226,9774,1626,1385,241
"mmm","glm",10000,100,0.1,8,2,0.075,0.5,0,0,416,302,9698,4288,3357,931
"mmm","glm",10000,25,0.1,2,8,0.075,0.5,0,6,38,36,9958,2450,1428,6
"mmm","glm",10000,50,0.1,2,8,0.075,0.5,0,0,67,62,9938,6456,3040,14
"mmm","glm",10000,100,0.1,2,8,0.075,0.5,0,0,89,85,9915,17022,6009,129
"mmm","glm",10000,25,0.1,8,2,0.1,0.5,0,5,83,76,9919,1368,1176,192
"mmm","glm",10000,50,0.1,8,2,0.1,0.5,0,0,276,222,9778,4008,3104,904
"mmm","glm",10000,100,0.1,8,2,0.1,0.5,0,0,369,304,9696,9738,6552,3186
"mmm","glm",10000,25,0.1,2,8,0.1,0.5,0,2,26,26,9972,5635,2795,11
"mmm","glm",10000,50,0.1,2,8,0.1,0.5,0,0,59,58,9942,15785,5695,116
"mmm","glm",10000,100,0.1,2,8,0.1,0.5,0,0,81,75,9925,38883,8736,973
"mmm","glm",10000,25,0.1,8,2,0.125,0.5,0,10,120,97,9893,3017,2419,598
"mmm","glm",10000,50,0.1,8,2,0.125,0.5,0,0,306,243,9757,7926,5532,2394
"mmm","glm",10000,100,0.1,8,2,0.125,0.5,0,0,417,333,9667,15746,9070,6676
"mmm","glm",10000,25,0.1,2,8,0.125,0.5,0,2,29,28,9970,11978,4729,56
"mmm","glm",10000,50,0.1,2,8,0.125,0.5,0,0,76,73,9927,31720,8048,567
"mmm","glm",10000,100,0.1,2,8,0.125,0.5,0,0,102,98,9902,62276,9841,3837
"mmm","glm",10000,25,0.1,8,2,0.15,0.5,0,4,98,85,9911,5578,4199,1379
"mmm","glm",10000,50,0.1,8,2,0.15,0.5,0,0,295,236,9764,12549,7814,4735
"mmm","glm",10000,100,0.1,8,2,0.15,0.5,0,0,376,308,9692,19041,9875,9166
