"method","model","pis","nresp","ntrt","corr","nsim","percent","percenti","pererror","perfail","N","J","cor"
"bonf","glm",0.01,3,25,0,10000,0,0,0,0,100,3,0
"bonf","glm",0.01,3,25,0.5,10000,0,0,0,0,100,3,0.5
"bonf","glm",0.01,3,25,0.9,10000,0,0,0,0,100,3,0.9
"bonf","glm",0.01,3,50,0,10000,2e-04,2e-04,0,0,200,3,0
"bonf","glm",0.01,3,50,0.5,10000,2e-04,2e-04,0,0,200,3,0.5
"bonf","glm",0.01,3,50,0.9,10000,3e-04,2e-04,0,0,200,3,0.9
"bonf","glm",0.01,3,100,0,10000,0.0014,0.0014,0,0,400,3,0
"bonf","glm",0.01,3,100,0.5,10000,8e-04,7e-04,0,0,400,3,0.5
"bonf","glm",0.01,3,100,0.9,10000,9e-04,6e-04,0,0,400,3,0.9
"bonf","glm",0.01,5,25,0,10000,0,0,0,0,100,5,0
"bonf","glm",0.01,5,25,0.5,10000,0,0,0,0,100,5,0.5
"bonf","glm",0.01,5,25,0.9,10000,0,0,0,0,100,5,0.9
"bonf","glm",0.01,5,50,0,10000,0,0,0,0,200,5,0
"bonf","glm",0.01,5,50,0.5,10000,0,0,0,0,200,5,0.5
"bonf","glm",0.01,5,50,0.9,10000,0,0,0,0,200,5,0.9
"bonf","glm",0.01,5,100,0,10000,8e-04,8e-04,0,0,400,5,0
"bonf","glm",0.01,5,100,0.5,10000,6e-04,4e-04,0,0,400,5,0.5
"bonf","glm",0.01,5,100,0.9,10000,7e-04,2e-04,0,0,400,5,0.9
"bonf","glm",0.01,10,25,0,10000,0,0,0,0,100,10,0
"bonf","glm",0.01,10,25,0.5,10000,0,0,0,0,100,10,0.5
"bonf","glm",0.01,10,25,0.9,10000,0,0,0,0,100,10,0.9
"bonf","glm",0.01,10,50,0,10000,0,0,0,0,200,10,0
"bonf","glm",0.01,10,50,0.5,10000,0,0,0,0,200,10,0.5
"bonf","glm",0.01,10,50,0.9,10000,0,0,0,0,200,10,0.9
"bonf","glm",0.01,10,100,0,10000,0,0,0,0,400,10,0
"bonf","glm",0.01,10,100,0.5,10000,0,0,0,0,400,10,0.5
"bonf","glm",0.01,10,100,0.9,10000,0,0,0,0,400,10,0.9
"bonf","glm",0.0625,3,25,0,10000,0.0113,0.0112,0,0,100,3,0
"bonf","glm",0.0625,3,25,0.5,10000,0.0102,0.009,0,0,100,3,0.5
"bonf","glm",0.0625,3,25,0.9,10000,0.0117,0.0065,0,0,100,3,0.9
"bonf","glm",0.0625,3,50,0,10000,0.0257,0.0256,0,0,200,3,0
"bonf","glm",0.0625,3,50,0.5,10000,0.0261,0.0237,0,0,200,3,0.5
"bonf","glm",0.0625,3,50,0.9,10000,0.0264,0.0156,0,0,200,3,0.9
"bonf","glm",0.0625,3,100,0,10000,0.0392,0.0387,0,0,400,3,0
"bonf","glm",0.0625,3,100,0.5,10000,0.0399,0.0355,0,0,400,3,0.5
"bonf","glm",0.0625,3,100,0.9,10000,0.0344,0.0209,0,0,400,3,0.9
"bonf","glm",0.0625,5,25,0,10000,0.0061,0.0061,0,0,100,5,0
"bonf","glm",0.0625,5,25,0.5,10000,0.006,0.0052,0,0,100,5,0.5
"bonf","glm",0.0625,5,25,0.9,10000,0.0075,0.0026,0,0,100,5,0.9
"bonf","glm",0.0625,5,50,0,10000,0.0216,0.0214,0,0,200,5,0
"bonf","glm",0.0625,5,50,0.5,10000,0.0197,0.0174,0,0,200,5,0.5
"bonf","glm",0.0625,5,50,0.9,10000,0.0221,0.01,0,0,200,5,0.9
"bonf","glm",0.0625,5,100,0,10000,0.0378,0.0374,0,0,400,5,0
