"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","n_h0_ha","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","N","J0_JA","cor"
"bonf","glm",10000,25,0.1,"2","8",0.001,0,"2:8",0.0022,0.0022,0.9978,0.0089,0.0089,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.001,0.5,"2:8",0.0014,0.0013,0.9987,0.0088,0.0077,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.001,0.9,"2:8",0.0022,0.0015,0.9985,0.008,0.0023,2e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.025,0,"2:8",0.0016,0.0016,0.9984,0.0229,0.0227,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.025,0.5,"2:8",0.0021,0.002,0.998,0.0257,0.02,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.025,0.9,"2:8",0.0032,0.0023,0.9977,0.0205,0.0086,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.05,0,"2:8",0.0022,0.0022,0.9978,0.0689,0.0664,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.05,0.5,"2:8",0.0015,0.0015,0.9985,0.0717,0.0494,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.05,0.9,"2:8",0.0016,0.0011,0.9989,0.0719,0.0223,0.0016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.075,0,"2:8",0.0022,0.0022,0.9978,0.1916,0.1758,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.075,0.5,"2:8",0.0021,0.002,0.998,0.1826,0.1131,2e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.075,0.9,"2:8",0.0033,0.0022,0.9978,0.167,0.0489,0.0047,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.1,0,"2:8",0.0017,0.0017,0.9983,0.4371,0.3626,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.1,0.5,"2:8",0.0023,0.0023,0.9977,0.4322,0.2297,3e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.1,0.9,"2:8",0.0018,0.0012,0.9988,0.4408,0.1127,0.0161,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.125,0,"2:8",0.002,0.002,0.998,0.9727,0.6421,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.125,0.5,"2:8",0.0025,0.0025,0.9975,0.9858,0.4158,0.004,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.125,0.9,"2:8",0.0016,0.0012,0.9988,1.0252,0.2306,0.0493,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.15,0,"2:8",0.002,0.002,0.998,1.86,0.8769,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.15,0.5,"2:8",0.0019,0.0019,0.9981,1.8554,0.6162,0.0147,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.15,0.9,"2:8",0.0036,0.0028,0.9972,1.8991,0.3799,0.1111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.175,0,"2:8",0.0018,0.0018,0.9982,3.163,0.9821,4e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.175,0.5,"2:8",0.0019,0.0018,0.9982,3.1289,0.805,0.0565,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.175,0.9,"2:8",0.0014,0.0013,0.9987,3.1322,0.5533,0.2191,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"2","8",0.2,0,"2:8",0.0014,0.0014,0.9986,4.6533,0.999,0.0129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bonf","glm",10000,25,0.1,"2","8",0.2,0.5,"2:8",0.0018,0.0018,0.9982,4.6866,0.9284,0.1577,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bonf","glm",10000,25,0.1,"2","8",0.2,0.9,"2:8",0.0022,0.0018,0.9982,4.6526,0.7383,0.3964,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bonf","glm",10000,25,0.1,"8","2",0.001,0,"8:2",0.0066,0.0064,0.9936,0.0019,0.0019,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.001,0.5,"8:2",0.0078,0.0072,0.9928,0.002,0.002,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
