"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1000,25,0,0,0,9,9,991,0,0,0
"mmm","bglm",1000,50,0,0,0,24,22,978,0,0,0
"mmm","bglm",1000,25,0.5,0,0,18,17,983,0,0,0
"mmm","bglm",1000,50,0.5,0,0,21,17,983,0,0,0
"mmm","bglm",1000,25,0.9,0,0,12,10,990,0,0,0
"mmm","bglm",1000,50,0.9,0,0,26,20,980,0,0,0
"mmm","bglm",1000,25,0,0,0,4,4,996,0,0,0
"mmm","bglm",1000,50,0,0,0,14,14,986,0,0,0
"mmm","bglm",1000,25,0.5,0,0,11,8,992,0,0,0
"mmm","bglm",1000,50,0.5,0,0,17,15,985,0,0,0
"mmm","bglm",1000,25,0.9,0,0,12,10,990,0,0,0
"mmm","bglm",1000,50,0.9,0,0,31,23,977,0,0,0
"mmm","bglm",1000,25,0,0,0,13,13,987,0,0,0
"mmm","bglm",1000,50,0,0,0,14,14,986,0,0,0
"mmm","bglm",1000,25,0.5,0,0,7,7,993,0,0,0
"mmm","bglm",1000,50,0.5,0,0,10,10,990,0,0,0
"mmm","bglm",1000,25,0.9,0,0,6,5,995,0,0,0
"mmm","bglm",1000,50,0.9,0,0,28,22,978,0,0,0
"mmm","bglm",1000,25,0,0,0,13,12,988,0,0,0
"mmm","bglm",1000,50,0,0,0,17,16,984,0,0,0
"mmm","bglm",1000,25,0.5,0,0,8,8,992,0,0,0
"mmm","bglm",1000,50,0.5,0,0,12,11,989,0,0,0
"mmm","bglm",1000,25,0.9,0,0,10,8,992,0,0,0
"mmm","bglm",1000,50,0.9,0,0,22,16,984,0,0,0
"mmm","bglm",1000,25,0,0,0,10,10,990,0,0,0
"mmm","bglm",1000,50,0,0,0,16,15,985,0,0,0
"mmm","bglm",1000,25,0.5,0,0,6,6,994,0,0,0
"mmm","bglm",1000,50,0.5,0,0,12,11,989,0,0,0
"mmm","bglm",1000,25,0.9,0,0,9,7,993,0,0,0
"mmm","bglm",1000,50,0.9,0,0,26,21,979,0,0,0
