"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1000,25,0,0,0,8,8,992,0,0,0
"mmm","bglm",1000,50,0,0,0,16,16,984,0,0,0
"mmm","bglm",1000,25,0.5,0,0,10,9,991,0,0,0
"mmm","bglm",1000,50,0.5,0,0,26,23,977,0,0,0
"mmm","bglm",1000,25,0.9,0,0,15,8,992,0,0,0
"mmm","bglm",1000,50,0.9,0,0,44,28,972,0,0,0
"mmm","bglm",1000,25,0,0,0,7,7,993,0,0,0
"mmm","bglm",1000,50,0,0,0,17,17,983,0,0,0
"mmm","bglm",1000,25,0.5,0,0,11,9,991,0,0,0
"mmm","bglm",1000,50,0.5,0,0,29,23,977,0,0,0
"mmm","bglm",1000,25,0.9,0,0,26,10,990,0,0,0
"mmm","bglm",1000,50,0.9,0,0,30,20,980,0,0,0
"mmm","bglm",1000,25,0,0,0,12,12,988,0,0,0
"mmm","bglm",1000,50,0,0,0,14,13,987,0,0,0
"mmm","bglm",1000,25,0.5,0,0,15,14,986,0,0,0
"mmm","bglm",1000,50,0.5,0,0,16,15,985,0,0,0
"mmm","bglm",1000,25,0.9,0,0,32,21,979,0,0,0
"mmm","bglm",1000,50,0.9,0,0,26,18,982,0,0,0
"mmm","bglm",1000,25,0,0,0,8,8,992,0,0,0
"mmm","bglm",1000,50,0,0,0,23,21,979,0,0,0
"mmm","bglm",1000,25,0.5,0,0,12,12,988,0,0,0
"mmm","bglm",1000,50,0.5,0,0,29,27,973,0,0,0
"mmm","bglm",1000,25,0.9,0,0,11,10,990,0,0,0
"mmm","bglm",1000,50,0.9,0,0,38,24,976,0,0,0
"mmm","bglm",1000,25,0,0,0,5,4,996,0,0,0
"mmm","bglm",1000,50,0,0,0,22,21,979,0,0,0
"mmm","bglm",1000,25,0.5,0,0,6,6,994,0,0,0
"mmm","bglm",1000,50,0.5,0,0,20,16,984,0,0,0
"mmm","bglm",1000,25,0.9,0,0,28,14,986,0,0,0
"mmm","bglm",1000,50,0.9,0,0,37,23,977,0,0,0
"mmm","bglm",1000,25,0,0,0,13,13,987,0,0,0
"mmm","bglm",1000,50,0,0,0,18,18,982,0,0,0
"mmm","bglm",1000,25,0.5,0,0,12,12,988,0,0,0
"mmm","bglm",1000,50,0.5,0,0,24,22,978,0,0,0
"mmm","bglm",1000,25,0.9,0,0,29,17,983,0,0,0
"mmm","bglm",1000,50,0.9,0,0,33,22,978,0,0,0
"mmm","bglm",1000,25,0,0,0,5,5,995,0,0,0
"mmm","bglm",1000,50,0,0,0,15,14,986,0,0,0
"mmm","bglm",1000,25,0.5,0,0,6,6,994,0,0,0
"mmm","bglm",1000,50,0.5,0,0,20,20,980,0,0,0
"mmm","bglm",1000,25,0.9,0,0,23,15,985,0,0,0
"mmm","bglm",1000,50,0.9,0,0,41,24,976,0,0,0
"mmm","bglm",1000,25,0,0,0,5,4,996,0,0,0
"mmm","bglm",1000,50,0,0,0,13,13,987,0,0,0
"mmm","bglm",1000,25,0.5,0,0,10,9,991,0,0,0
"mmm","bglm",1000,50,0.5,0,0,24,23,977,0,0,0
"mmm","bglm",1000,25,0.9,0,0,31,20,980,0,0,0
"mmm","bglm",1000,50,0.9,0,0,29,18,982,0,0,0
"mmm","bglm",1000,25,0,0,0,12,12,988,0,0,0
"mmm","bglm",1000,50,0,0,0,14,14,986,0,0,0
"mmm","bglm",1000,25,0.5,0,0,2,2,998,0,0,0
"mmm","bglm",1000,50,0.5,0,0,21,18,982,0,0,0
"mmm","bglm",1000,25,0.9,0,0,28,18,982,0,0,0
"mmm","bglm",1000,50,0.9,0,0,40,25,975,0,0,0
"mmm","bglm",1000,25,0,0,0,15,14,986,0,0,0
"mmm","bglm",1000,50,0,0,0,18,18,982,0,0,0
"mmm","bglm",1000,25,0.5,0,0,8,8,992,0,0,0
"mmm","bglm",1000,50,0.5,0,0,30,26,974,0,0,0
"mmm","bglm",1000,25,0.9,0,0,23,14,986,0,0,0
"mmm","bglm",1000,50,0.9,0,0,27,17,983,0,0,0
"bonf","glm",1000,25,0,0,0,8,8,992,0,0,0
"bt","glm",1000,25,0,0,0,51,46,954,0,0,0
"bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0,0,0,37,37,963,0,0,0
"bonf","glm",1000,50,0,0,0,20,20,980,0,0,0
"bt","glm",1000,50,0,0,0,44,39,961,0,0,0
"bonf","bglm",1000,50,0,0,0,19,18,982,0,0,0
"bt","bglm",1000,50,0,0,0,56,50,950,0,0,0
"bonf","glm",1000,25,0.5,0,0,10,9,991,0,0,0
"bt","glm",1000,25,0.5,0,0,66,58,942,0,0,0
"bonf","bglm",1000,25,0.5,0,0,3,3,997,0,0,0
"bt","bglm",1000,25,0.5,0,0,36,30,970,0,0,0
"bonf","glm",1000,50,0.5,0,0,25,23,977,0,0,0
"bt","glm",1000,50,0.5,0,0,72,60,940,0,0,0
"bonf","bglm",1000,50,0.5,0,0,13,13,987,0,0,0
"bt","bglm",1000,50,0.5,0,0,44,38,962,0,0,0
"bonf","glm",1000,25,0.9,0,0,8,4,996,0,0,0
"bt","glm",1000,25,0.9,0,0,90,48,952,0,0,0
"bonf","bglm",1000,25,0.9,0,0,3,3,997,0,0,0
"bt","bglm",1000,25,0.9,0,0,89,55,945,0,0,0
"bonf","glm",1000,50,0.9,0,0,14,13,987,0,0,0
"bt","glm",1000,50,0.9,0,0,97,57,943,0,0,0
"bonf","bglm",1000,50,0.9,0,0,19,11,989,0,0,0
"bt","bglm",1000,50,0.9,0,0,58,39,961,0,0,0
"bonf","glm",1000,25,0,0,0,8,8,992,0,0,0
"bt","glm",1000,25,0,0,0,46,41,959,0,0,0
"bonf","bglm",1000,25,0,0,0,4,4,996,0,0,0
"bt","bglm",1000,25,0,0,0,38,34,966,0,0,0
"bonf","glm",1000,50,0,0,0,20,19,981,0,0,0
"bt","glm",1000,50,0,0,0,62,57,943,0,0,0
"bonf","bglm",1000,50,0,0,0,4,4,996,0,0,0
"bt","bglm",1000,50,0,0,0,48,43,957,0,0,0
"bonf","glm",1000,25,0.5,0,0,8,8,992,0,0,0
"bt","glm",1000,25,0.5,0,0,62,49,951,0,0,0
"bonf","bglm",1000,25,0.5,0,0,4,4,996,0,0,0
"bt","bglm",1000,25,0.5,0,0,36,28,972,0,0,0
"bonf","glm",1000,50,0.5,0,0,26,24,976,0,0,0
"bt","glm",1000,50,0.5,0,0,64,55,945,0,0,0
"bonf","bglm",1000,50,0.5,0,0,11,9,991,0,0,0
"bt","bglm",1000,50,0.5,0,0,60,52,948,0,0,0
"bonf","glm",1000,25,0.9,0,0,7,6,994,0,0,0
"bt","glm",1000,25,0.9,0,0,74,44,956,0,0,0
"bonf","bglm",1000,25,0.9,0,0,3,3,997,0,0,0
"bt","bglm",1000,25,0.9,0,0,85,49,951,0,0,0
"bonf","glm",1000,50,0.9,0,0,11,10,990,0,0,0
"bt","glm",1000,50,0.9,0,0,71,46,954,0,0,0
"bonf","bglm",1000,50,0.9,0,0,22,14,986,0,0,0
"bt","bglm",1000,50,0.9,0,0,58,34,966,0,0,0
"bonf","glm",1000,25,0,0,0,8,7,993,0,0,0
"bt","glm",1000,25,0,0,0,47,40,960,0,0,0
"bonf","bglm",1000,25,0,0,0,10,9,991,0,0,0
"bt","bglm",1000,25,0,0,0,28,28,972,0,0,0
"bonf","glm",1000,50,0,0,0,25,23,977,0,0,0
"bt","glm",1000,50,0,0,0,43,42,958,0,0,0
"bonf","bglm",1000,50,0,0,0,12,12,988,0,0,0
"bt","bglm",1000,50,0,0,0,49,47,953,0,0,0
"bonf","glm",1000,25,0.5,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0.5,0,0,79,67,933,0,0,0
"bonf","bglm",1000,25,0.5,0,0,5,5,995,0,0,0
"bt","bglm",1000,25,0.5,0,0,37,31,969,0,0,0
"bonf","glm",1000,50,0.5,0,0,18,17,983,0,0,0
"bt","glm",1000,50,0.5,0,0,69,51,949,0,0,0
"bonf","bglm",1000,50,0.5,0,0,18,13,987,0,0,0
"bt","bglm",1000,50,0.5,0,0,60,53,947,0,0,0
"bonf","glm",1000,25,0.9,0,0,5,4,996,0,0,0
"bt","glm",1000,25,0.9,0,0,106,64,936,0,0,0
"bonf","bglm",1000,25,0.9,0,0,6,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,69,42,958,0,0,0
"bonf","glm",1000,50,0.9,0,0,18,12,988,0,0,0
"bt","glm",1000,50,0.9,0,0,87,49,951,0,0,0
"bonf","bglm",1000,50,0.9,0,0,1,1,999,0,0,0
"bt","bglm",1000,50,0.9,0,0,55,37,963,0,0,0
"bonf","glm",1000,25,0,0,0,11,11,989,0,0,0
"bt","glm",1000,25,0,0,0,65,58,942,0,0,0
"bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0,0,0,32,31,969,0,0,0
"bonf","glm",1000,50,0,0,0,18,18,982,0,0,0
"bt","glm",1000,50,0,0,0,50,43,957,0,0,0
"bonf","bglm",1000,50,0,0,0,8,8,992,0,0,0
"bt","bglm",1000,50,0,0,0,28,26,974,0,0,0
"bonf","glm",1000,25,0.5,0,0,13,13,987,0,0,0
"bt","glm",1000,25,0.5,0,0,59,51,949,0,0,0
"bonf","bglm",1000,25,0.5,0,0,7,6,994,0,0,0
"bt","bglm",1000,25,0.5,0,0,38,35,965,0,0,0
"bonf","glm",1000,50,0.5,0,0,14,14,986,0,0,0
"bt","glm",1000,50,0.5,0,0,69,61,939,0,0,0
"bonf","bglm",1000,50,0.5,0,0,14,14,986,0,0,0
"bt","bglm",1000,50,0.5,0,0,63,53,947,0,0,0
"bonf","glm",1000,25,0.9,0,0,4,2,998,0,0,0
"bt","glm",1000,25,0.9,0,0,106,55,945,0,0,0
"bonf","bglm",1000,25,0.9,0,0,8,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,56,35,965,0,0,0
"bonf","glm",1000,50,0.9,0,0,18,9,991,0,0,0
"bt","glm",1000,50,0.9,0,0,96,54,946,0,0,0
"bonf","bglm",1000,50,0.9,0,0,9,6,994,0,0,0
"bt","bglm",1000,50,0.9,0,0,86,48,952,0,0,0
"bonf","glm",1000,25,0,0,0,13,13,987,0,0,0
"bt","glm",1000,25,0,0,0,64,52,948,0,0,0
"bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0
