"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1000,25,0,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,50,0,0,1000,8,7,993,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,9,9,991,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,10,10,990,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,11,8,992,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,12,10,990,0,0,0
"mmm","bglm",1000,25,0,0,1000,5,5,995,0,0,0
"mmm","bglm",1000,50,0,0,1000,5,4,996,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,6,4,996,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,13,12,988,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,20,13,987,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,17,14,986,1,1,0
"mmm","bglm",1000,25,0,0,1000,5,5,995,0,0,0
"mmm","bglm",1000,50,0,0,1000,4,4,996,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,4,4,996,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,12,12,988,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,19,13,987,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,25,17,983,0,0,0
"mmm","bglm",1000,25,0,0,1000,2,2,998,0,0,0
"mmm","bglm",1000,50,0,0,1000,8,7,993,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,1,1,999,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,7,6,994,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,12,10,990,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,16,11,989,0,0,0
"mmm","bglm",1000,25,0,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,50,0,0,1000,7,7,993,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,4,4,996,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,5,5,995,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,16,10,990,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,25,18,982,0,0,0
"mmm","bglm",1000,25,0,0,1000,5,5,995,0,0,0
"mmm","bglm",1000,50,0,0,1000,9,7,993,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,3,2,998,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,4,4,996,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,20,14,986,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,17,12,988,0,0,0
"mmm","bglm",1000,25,0,0,1000,9,9,991,0,0,0
"mmm","bglm",1000,50,0,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,10,10,990,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,9,9,991,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,17,12,988,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,14,10,990,0,0,0
"mmm","bglm",1000,25,0,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,50,0,0,1000,5,5,995,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,6,6,994,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,10,10,990,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,7,5,995,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,11,9,991,0,0,0
"mmm","bglm",1000,25,0,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,50,0,0,1000,1,1,999,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,13,12,988,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,12,11,989,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,20,15,985,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,23,16,984,0,0,0
"mmm","bglm",1000,25,0,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,50,0,0,1000,4,4,996,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,3,3,997,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,9,7,993,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,10,6,994,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,16,13,987,0,0,0
"bonf","glm",1000,25,0,0,1000,2,2,998,0,0,0
"bt","glm",1000,25,0,0,1000,64,59,941,0,0,0
"bonf","bglm",1000,25,0,0,1000,1,1,999,0,0,0
"bt","bglm",1000,25,0,0,1000,35,35,965,0,0,0
"bonf","glm",1000,50,0,0,1000,3,3,997,0,0,0
"bt","glm",1000,50,0,0,1000,53,51,949,0,0,0
"bonf","bglm",1000,50,0,0,1000,3,3,997,0,0,0
"bt","bglm",1000,50,0,0,1000,41,39,961,8,8,0
"bonf","glm",1000,25,0.5,0,1000,3,3,997,0,0,0
"bt","glm",1000,25,0.5,0,1000,67,56,944,0,0,0
"bonf","bglm",1000,25,0.5,0,1000,5,5,995,0,0,0
"bt","bglm",1000,25,0.5,0,1000,34,30,970,0,0,0
"bonf","glm",1000,50,0.5,0,1000,8,8,992,0,0,0
"bt","glm",1000,50,0.5,0,1000,60,52,948,0,0,0
"bonf","bglm",1000,50,0.5,0,1000,4,4,996,0,0,0
"bt","bglm",1000,50,0.5,0,1000,38,31,969,8,7,0
"bonf","glm",1000,25,0.9,0,1000,2,2,998,0,0,0
"bt","glm",1000,25,0.9,0,1000,64,46,954,0,0,0
"bonf","bglm",1000,25,0.9,0,1000,3,2,998,0,0,0
"bt","bglm",1000,25,0.9,0,1000,47,35,965,8,2,0
"bonf","glm",1000,50,0.9,0,1000,12,7,993,0,0,0
"bt","glm",1000,50,0.9,0,1000,80,55,945,0,0,0
"bonf","bglm",1000,50,0.9,0,1000,4,4,996,0,0,0
"bt","bglm",1000,50,0.9,0,1000,54,39,961,41,10,0
"bonf","glm",1000,25,0,0,1000,2,2,998,0,0,0
"bt","glm",1000,25,0,0,1000,46,43,957,0,0,0
"bonf","bglm",1000,25,0,0,1000,4,4,996,0,0,0
"bt","bglm",1000,25,0,0,1000,30,29,971,1,1,0
"bonf","glm",1000,50,0,0,1000,16,15,985,0,0,0
"bt","glm",1000,50,0,0,1000,55,49,951,0,0,0
"bonf","bglm",1000,50,0,0,1000,8,8,992,0,0,0
"bt","bglm",1000,50,0,0,1000,41,36,964,9,9,0
"bonf","glm",1000,25,0.5,0,1000,9,8,992,0,0,0
"bt","glm",1000,25,0.5,0,1000,71,61,939,0,0,0
"bonf","bglm",1000,25,0.5,0,1000,5,5,995,0,0,0
"bt","bglm",1000,25,0.5,0,1000,55,44,956,0,0,0
"bonf","glm",1000,50,0.5,0,1000,9,9,991,0,0,0
"bt","glm",1000,50,0.5,0,1000,66,55,945,0,0,0
"bonf","bglm",1000,50,0.5,0,1000,4,4,996,0,0,0
"bt","bglm",1000,50,0.5,0,1000,39,37,963,4,4,0
"bonf","glm",1000,25,0.9,0,1000,4,4,996,0,0,0
"bt","glm",1000,25,0.9,0,1000,67,46,954,0,0,0
"bonf","bglm",1000,25,0.9,0,1000,8,6,994,0,0,0
"bt","bglm",1000,25,0.9,0,1000,60,43,957,0,0,0
"bonf","glm",1000,50,0.9,0,1000,8,7,993,0,0,0
"bt","glm",1000,50,0.9,0,1000,86,49,951,0,0,0
"bonf","bglm",1000,50,0.9,0,1000,8,7,993,0,0,0
"bt","bglm",1000,50,0.9,0,1000,58,42,958,21,6,0
"bonf","glm",1000,25,0,0,1000,4,4,996,0,0,0
"bt","glm",1000,25,0,0,1000,60,55,945,0,0,0
"bonf","bglm",1000,25,0,0,1000,4,4,996,0,0,0
"bt","bglm",1000,25,0,0,1000,58,53,947,0,0,0
"bonf","glm",1000,50,0,0,1000,9,9,991,0,0,0
"bt","glm",1000,50,0,0,1000,62,53,947,0,0,0
"bonf","bglm",1000,50,0,0,1000,5,5,995,0,0,0
"bt","bglm",1000,50,0,0,1000,42,40,960,7,7,0
"bonf","glm",1000,25,0.5,0,1000,8,8,992,0,0,0
"bt","glm",1000,25,0.5,0,1000,61,53,947,0,0,0
"bonf","bglm",1000,25,0.5,0,1000,7,7,993,0,0,0
"bt","bglm",1000,25,0.5,0,1000,55,45,955,1,1,0
"bonf","glm",1000,50,0.5,0,1000,7,7,993,0,0,0
"bt","glm",1000,50,0.5,0,1000,66,57,943,0,0,0
"bonf","bglm",1000,50,0.5,0,1000,4,4,996,0,0,0
"bt","bglm",1000,50,0.5,0,1000,61,54,946,14,13,0
"bonf","glm",1000,25,0.9,0,1000,5,4,996,0,0,0
"bt","glm",1000,25,0.9,0,1000,82,58,942,0,0,0
"bonf","bglm",1000,25,0.9,0,1000,10,7,993,0,0,0
"bt","bglm",1000,25,0.9,0,1000,56,38,962,0,0,0
"bonf","glm",1000,50,0.9,0,1000,12,8,992,0,0,0
"bt","glm",1000,50,0.9,0,1000,62,44,956,0,0,0
"bonf","bglm",1000,50,0.9,0,1000,11,8,992,0,0,0
"bt","bglm",1000,50,0.9,0,1000,55,35,965,33,10,0
"bonf","glm",1000,25,0,0,1000,6,6,994,0,0,0
"bt","glm",1000,25,0,0,1000,67,59,941,0,0,0
"bonf","bglm",1000,25,0,0,1000,7,7,993,0,0,0
"bt","bglm",1000,25,0,0,1000,34,32,968,0,0,0
"bonf","glm",1000,50,0,0,1000,3,3,997,0,0,0
"bt","glm",1000,50,0,0,1000,49,43,957,0,0,0
"bonf","bglm",1000,50,0,0,1000,2,2,998,0,0,0
"bt","bglm",1000,50,0,0,1000,35,34,966,13,13,0
"bonf","glm",1000,25,0.5,0,1000,3,3,997,0,0,0
"bt","glm",1000,25,0.5,0,1000,68,58,942,0,0,0
"bonf","bglm",1000,25,0.5,0,1000,4,4,996,0,0,0
"bt","bglm",1000,25,0.5,0,1000,26,25,975,0,0,0
"bonf","glm",1000,50,0.5,0,1000,12,12,988,0,0,0
"bt","glm",1000,50,0.5,0,1000,49,45,955,0,0,0
"bonf","bglm",1000,50,0.5,0,1000,8,7,993,0,0,0
"bt","bglm",1000,50,0.5,0,1000,54,45,955,12,11,0
"bonf","glm",1000,25,0.9,0,1000,3,2,998,0,0,0
"bt","glm",1000,25,0.9,0,1000,88,52,948,0,0,0
"bonf","bglm",1000,25,0.9,0,1000,5,3,997,0,0,0
"bt","bglm",1000,25,0.9,0,1000,75,54,946,0,0,0
"bonf","glm",1000,50,0.9,0,1000,7,7,993,0,0,0
"bt","glm",1000,50,0.9,0,1000,79,52,948,0,0,0
"bonf","bglm",1000,50,0.9,0,1000,3,3,997,0,0,0
"bt","bglm",1000,50,0.9,0,1000,69,49,951,26,7,0
"bonf","glm",1000,25,0,0,1000,6,6,994,0,0,0
"bt","glm",1000,25,0,0,1000,47,45,955,0,0,0
"bonf","bglm",1000,25,0,0,1000,6,6,994,0,0,0
"bt","bglm",1000,25,0,0,1000,45,41,959,2,2,0
"bonf","glm",1000,50,0,0,1000,7,7,993,0,0,0
