"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,1,1,1666,14,13,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,24,24,0
"mmm","bglm",1667,25,0.9,0,1667,7,2,1665,46,30,0
"mmm","bglm",1667,50,0.9,0,1667,9,2,1665,89,60,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,14,14,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,27,25,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,32,23,0
"mmm","bglm",1667,50,0.9,0,1667,2,1,1666,72,48,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,10,9,0
"mmm","bglm",1667,50,0,0,1667,3,3,1664,43,41,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,27,21,0
"mmm","bglm",1667,50,0.9,0,1667,6,2,1665,80,55,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,14,14,0
"mmm","bglm",1667,50,0.5,0,1667,2,2,1665,37,34,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,19,17,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,37,33,0
"mmm","bglm",1667,25,0.5,0,1667,1,1,1666,11,11,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,46,39,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,21,21,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,24,21,0
"mmm","bglm",1667,25,0.9,0,1667,1,1,1666,41,33,0
"mmm","bglm",1667,50,0.9,0,1667,11,4,1663,98,71,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,17,17,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,27,25,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,35,26,0
"mmm","bglm",1667,50,0.9,0,1667,16,4,1663,78,48,0
"mmm","bglm",1667,25,0,0,1667,1,1,1666,17,16,0
"mmm","bglm",1667,50,0,0,1667,1,1,1666,26,25,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,55,34,0
"mmm","bglm",1667,50,0.9,0,1667,1,1,1666,72,50,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,15,15,0
"mmm","bglm",1667,50,0.5,0,1667,3,3,1664,41,38,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,19,17,0
"mmm","bglm",1667,50,0.5,0,1667,1,1,1666,35,33,0
"mmm","bglm",1667,25,0.5,0,1667,1,1,1666,23,22,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,34,33,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,16,16,0
"bt","glm",1667,25,0,0,1667,0,0,1667,139,122,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,12,11,0
"bt","bglm",1667,25,0,0,1667,25,25,1642,107,96,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,44,41,0
"bt","glm",1667,50,0,0,1667,5,5,1662,169,145,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,16,14,0
"bt","bglm",1667,50,0,0,1667,38,38,1629,136,122,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,13,8,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,187,115,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,19,15,0
"bt","bglm",1667,25,0.9,0,1667,23,12,1655,133,91,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,46,27,0
"bt","glm",1667,50,0.9,0,1667,17,5,1662,215,119,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,24,17,0
"bt","bglm",1667,50,0.9,0,1667,85,30,1637,189,106,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,11,11,0
"bt","glm",1667,25,0,0,1667,1,1,1666,138,115,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,16,16,0
"bt","bglm",1667,25,0,0,1667,24,24,1643,98,92,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,38,37,0
"bt","glm",1667,50,0,0,1667,8,7,1660,177,151,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,33,31,0
"bt","bglm",1667,50,0,0,1667,34,33,1634,142,127,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,13,11,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,199,118,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,8,7,0
"bt","bglm",1667,25,0.9,0,1667,27,11,1656,144,91,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,53,33,0
"bt","glm",1667,50,0.9,0,1667,16,8,1659,268,148,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,23,19,0
"bt","bglm",1667,50,0.9,0,1667,51,17,1650,192,121,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,14,14,0
"bt","glm",1667,25,0,0,1667,2,1,1666,117,103,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,16,16,0
"bt","bglm",1667,25,0,0,1667,20,20,1647,105,98,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,50,46,0
"bt","glm",1667,50,0,0,1667,6,6,1661,185,152,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,22,22,0
"bt","bglm",1667,50,0,0,1667,45,45,1622,126,112,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,18,15,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,187,110,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,14,10,0
"bt","bglm",1667,25,0.9,0,1667,44,11,1656,128,85,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,49,35,0
"bt","glm",1667,50,0.9,0,1667,20,9,1658,236,143,0
"bonf","bglm",1667,50,0.9,0,1667,1,1,1666,35,24,0
"bt","bglm",1667,50,0.9,0,1667,56,23,1644,210,134,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,16,15,0
"bt","glm",1667,25,0.5,0,1667,1,1,1666,177,133,0
"bonf","bglm",1667,25,0.5,0,1667,0,0,1667,14,14,0
"bt","bglm",1667,25,0.5,0,1667,17,16,1651,97,82,0
"bonf","glm",1667,50,0.5,0,1667,0,0,1667,45,40,0
"bt","glm",1667,50,0.5,0,1667,8,5,1662,190,144,0
"bonf","bglm",1667,50,0.5,0,1667,0,0,1667,21,21,0
"bt","bglm",1667,50,0.5,0,1667,32,30,1637,155,128,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,19,18,0
"bt","glm",1667,25,0.5,0,1667,1,1,1666,150,115,0
"bonf","bglm",1667,25,0.5,0,1667,0,0,1667,3,3,0
"bt","bglm",1667,25,0.5,0,1667,21,18,1649,93,77,0
"bonf","glm",1667,50,0.5,0,1667,0,0,1667,43,39,0
"bt","glm",1667,50,0.5,0,1667,8,7,1660,164,122,0
"bonf","bglm",1667,50,0.5,0,1667,1,1,1666,23,22,0
"bt","bglm",1667,50,0.5,0,1667,31,28,1639,174,134,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,11,10,0
"bt","glm",1667,25,0.5,0,1667,0,0,1667,147,113,0
"bonf","bglm",1667,25,0.5,0,1667,1,1,1666,14,13,0
"bt","bglm",1667,25,0.5,0,1667,31,26,1641,122,107,0
"bonf","glm",1667,50,0.5,0,1667,0,0,1667,35,32,0
"bt","glm",1667,50,0.5,0,1667,5,5,1662,211,157,0
"bonf","bglm",1667,50,0.5,0,1667,0,0,1667,35,29,0
"bt","bglm",1667,50,0.5,0,1667,36,32,1635,139,114,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,16,15,0
"bt","glm",1667,25,0,0,1667,0,0,1667,152,130,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,12,12,0
"bt","bglm",1667,25,0,0,1667,27,26,1641,111,99,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,47,41,0
"bt","glm",1667,50,0,0,1667,12,11,1656,158,133,0
"bonf","bglm",1667,50,0,0,1667,2,2,1665,26,25,0
"bt","bglm",1667,50,0,0,1667,41,37,1630,158,149,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,20,16,0
"bt","glm",1667,25,0.9,0,1667,1,1,1666,219,136,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,14,12,0
"bt","bglm",1667,25,0.9,0,1667,49,18,1649,147,97,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,45,33,0
"bt","glm",1667,50,0.9,0,1667,37,13,1654,217,130,0
"bonf","bglm",1667,50,0.9,0,1667,1,1,1666,20,16,0
"bt","bglm",1667,50,0.9,0,1667,63,23,1644,198,120,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,18,18,0
"bt","glm",1667,25,0,0,1667,0,0,1667,129,109,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,10,10,0
"bt","bglm",1667,25,0,0,1667,24,24,1643,111,106,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,44,38,0
"bt","glm",1667,50,0,0,1667,13,12,1655,165,143,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,23,22,0
"bt","bglm",1667,50,0,0,1667,44,42,1625,146,130,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,14,11,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,203,118,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,11,9,0
"bt","bglm",1667,25,0.9,0,1667,32,6,1661,151,93,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,41,30,0
"bt","glm",1667,50,0.9,0,1667,35,12,1655,233,141,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,35,24,0
"bt","bglm",1667,50,0.9,0,1667,44,22,1645,173,117,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,16,16,0
"bt","glm",1667,25,0,0,1667,1,1,1666,138,117,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,12,11,0
"bt","bglm",1667,25,0,0,1667,31,30,1637,118,104,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,64,60,0
"bt","glm",1667,50,0,0,1667,9,8,1659,172,151,0
"bonf","bglm",1667,50,0,0,1667,1,1,1666,21,20,0
"bt","bglm",1667,50,0,0,1667,45,45,1622,140,128,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,15,10,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,205,131,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,13,9,0
"bt","bglm",1667,25,0.9,0,1667,52,15,1652,133,90,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,45,33,0
"bt","glm",1667,50,0.9,0,1667,30,10,1657,277,165,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,27,19,0
"bt","bglm",1667,50,0.9,0,1667,46,23,1644,208,124,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,19,19,0
