"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",1667,25,0,0,0,32,31,1636,0,0,0
"mmm","glm",1667,25,0,0,89,24,23,1555,1,1,0
"bt","glm",1667,25,0,0,0,82,72,1595,4,4,0
"bonf","bglm",1667,25,0,0,0,19,18,1649,2,2,0
"mmm","bglm",1667,25,0,0,0,33,32,1635,4,4,0
"bt","bglm",1667,25,0,0,0,73,68,1599,14,14,0
"bonf","glm",1667,50,0,0,0,47,43,1624,17,17,0
"mmm","glm",1667,50,0,0,11,59,57,1599,16,16,0
"bt","glm",1667,50,0,0,0,86,78,1589,23,23,0
"bonf","bglm",1667,50,0,0,0,29,29,1638,41,41,0
"mmm","bglm",1667,50,0,0,0,33,30,1637,52,52,0
"bt","bglm",1667,50,0,0,0,65,60,1607,70,70,0
"bonf","glm",1667,25,0.5,0,0,21,18,1649,0,0,0
"mmm","glm",1667,25,0.5,0,84,21,19,1564,0,0,0
"bt","glm",1667,25,0.5,0,0,126,96,1571,3,3,0
"bonf","bglm",1667,25,0.5,0,0,13,13,1654,4,4,0
"mmm","bglm",1667,25,0.5,0,0,34,30,1637,7,6,1
"bt","bglm",1667,25,0.5,0,0,108,81,1586,29,27,2
"bonf","glm",1667,50,0.5,0,0,66,55,1612,14,12,2
"mmm","glm",1667,50,0.5,0,5,51,43,1619,24,23,1
"bt","glm",1667,50,0.5,0,0,97,71,1596,21,21,0
"bonf","bglm",1667,50,0.5,0,0,26,25,1642,45,41,4
"mmm","bglm",1667,50,0.5,0,0,53,39,1628,44,38,6
"bt","bglm",1667,50,0.5,0,0,74,60,1607,97,86,11
"bonf","glm",1667,25,0.9,0,0,33,8,1659,0,0,0
"mmm","glm",1667,25,0.9,0,54,98,30,1583,1,1,0
"bt","glm",1667,25,0.9,0,0,280,86,1581,5,3,2
"bonf","bglm",1667,25,0.9,0,0,20,11,1656,4,3,1
"mmm","bglm",1667,25,0.9,0,0,88,27,1640,11,9,2
"bt","bglm",1667,25,0.9,0,0,250,64,1603,59,39,20
"bonf","glm",1667,50,0.9,0,0,62,21,1646,12,9,3
"mmm","glm",1667,50,0.9,0,7,135,46,1614,59,40,19
"bt","glm",1667,50,0.9,0,0,235,82,1585,138,95,43
"bonf","bglm",1667,50,0.9,0,0,29,13,1654,37,26,11
"mmm","bglm",1667,50,0.9,0,0,92,27,1640,103,71,32
"bt","bglm",1667,50,0.9,0,0,171,58,1609,163,115,45
"bonf","glm",1667,25,0,0,0,37,35,1632,0,0,0
"mmm","glm",1667,25,0,0,83,18,18,1566,0,0,0
"bt","glm",1667,25,0,0,0,92,83,1584,1,1,0
"bonf","bglm",1667,25,0,0,0,17,17,1650,3,3,0
"mmm","bglm",1667,25,0,0,0,14,14,1653,1,1,0
"bt","bglm",1667,25,0,0,0,79,70,1597,20,20,0
