"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bonf","glm",10000,0.01,3,25,0,0,0,0,0
"bonf","glm",10000,0.0625,3,25,0,0,0,112,113
"bonf","glm",10000,0.125,3,25,0,0,0,252,254
"bonf","glm",10000,0.25,3,25,0,0,0,409,417
"bonf","glm",10000,0.375,3,25,0,0,0,396,406
"bonf","glm",10000,0.5,3,25,0,0,0,443,449
"bonf","glm",10000,0.01,5,25,0,0,0,0,0
"bonf","glm",10000,0.0625,5,25,0,0,0,61,61
"bonf","glm",10000,0.125,5,25,0,0,0,221,222
"bonf","glm",10000,0.25,5,25,0,0,0,387,394
"bonf","glm",10000,0.375,5,25,0,0,0,395,405
"bonf","glm",10000,0.5,5,25,0,0,0,406,417
"bonf","glm",10000,0.01,10,25,0,0,0,0,0
"bonf","glm",10000,0.0625,10,25,0,0,0,22,22
"bonf","glm",10000,0.125,10,25,0,0,0,159,159
"bonf","glm",10000,0.25,10,25,0,0,0,266,269
"bonf","glm",10000,0.375,10,25,0,0,0,345,348
"bonf","glm",10000,0.5,10,25,0,0,0,391,394
"bonf","glm",10000,0.01,3,50,0,0,0,2,2
"bonf","glm",10000,0.0625,3,50,0,0,0,256,257
"bonf","glm",10000,0.125,3,50,0,0,0,394,402
"bonf","glm",10000,0.25,3,50,0,0,0,439,444
"bonf","glm",10000,0.375,3,50,0,0,0,500,511
"bonf","glm",10000,0.5,3,50,0,0,0,471,481
"bonf","glm",10000,0.01,5,50,0,0,0,0,0
"bonf","glm",10000,0.0625,5,50,0,0,0,214,216
"bonf","glm",10000,0.125,5,50,0,0,0,332,338
"bonf","glm",10000,0.25,5,50,0,0,0,406,411
"bonf","glm",10000,0.375,5,50,0,0,0,450,455
"bonf","glm",10000,0.5,5,50,0,0,0,462,472
"bonf","glm",10000,0.01,10,50,0,0,0,0,0
"bonf","glm",10000,0.0625,10,50,0,0,0,129,129
"bonf","glm",10000,0.125,10,50,0,0,0,295,297
"bonf","glm",10000,0.25,10,50,0,0,0,384,393
"bonf","glm",10000,0.375,10,50,0,0,0,427,435
"bonf","glm",10000,0.5,10,50,0,0,0,428,436
"bonf","glm",10000,0.01,3,100,0,0,0,14,14
"bonf","glm",10000,0.0625,3,100,0,0,0,387,392
"bonf","glm",10000,0.125,3,100,0,0,0,449,458
"bonf","glm",10000,0.25,3,100,0,0,0,436,448
"bonf","glm",10000,0.375,3,100,0,0,0,432,437
"bonf","glm",10000,0.5,3,100,0,0,0,445,454
