"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bt","glm",185,0.01,3,25,0,0,0,3,3
"bt","glm",185,0.0625,3,25,0,0,0,10,10
"bt","glm",185,0.125,3,25,0,0,0,7,7
"bt","glm",185,0.25,3,25,0,0,0,9,10
"bt","glm",185,0.375,3,25,0,0,0,11,11
"bt","glm",185,0.5,3,25,0,0,0,8,8
"bt","glm",185,0.01,5,25,0,0,0,2,2
"bt","glm",185,0.0625,5,25,0,0,0,8,8
"bt","glm",185,0.125,5,25,0,0,0,7,7
"bt","glm",185,0.25,5,25,0,0,0,11,11
"bt","glm",185,0.375,5,25,0,0,0,9,9
"bt","glm",185,0.5,5,25,0,0,0,11,12
"bt","glm",185,0.01,10,25,0,0,0,0,0
"bt","glm",185,0.0625,10,25,0,0,0,4,4
"bt","glm",185,0.125,10,25,0,0,0,9,9
"bt","glm",185,0.25,10,25,0,0,0,5,5
"bt","glm",185,0.375,10,25,0,0,0,14,15
"bt","glm",185,0.5,10,25,0,0,0,10,10
"bt","glm",185,0.01,3,50,0,0,0,9,9
"bt","glm",185,0.0625,3,50,0,0,0,8,8
"bt","glm",185,0.125,3,50,0,0,0,6,7
"bt","glm",185,0.25,3,50,0,0,0,14,14
"bt","glm",185,0.375,3,50,0,0,0,11,11
"bt","glm",185,0.5,3,50,0,0,0,6,6
"bt","glm",185,0.01,5,50,0,0,0,6,6
"bt","glm",185,0.0625,5,50,0,0,0,10,10
"bt","glm",185,0.125,5,50,0,0,0,6,7
"bt","glm",185,0.25,5,50,0,0,0,13,13
"bt","glm",185,0.375,5,50,0,0,0,9,9
"bt","glm",185,0.5,5,50,0,0,0,13,13
"bt","glm",185,0.01,10,50,0,0,0,4,4
"bt","glm",185,0.0625,10,50,0,0,0,8,8
"bt","glm",185,0.125,10,50,0,0,0,9,9
"bt","glm",185,0.25,10,50,0,0,0,8,9
"bt","glm",185,0.375,10,50,0,0,0,11,11
"bt","glm",185,0.5,10,50,0,0,0,9,9
"bt","glm",185,0.01,3,100,0,0,0,9,9
"bt","glm",185,0.0625,3,100,0,0,0,9,9
"bt","glm",185,0.125,3,100,0,0,0,9,9
"bt","glm",185,0.25,3,100,0,0,0,11,12
"bt","glm",185,0.375,3,100,0,0,0,13,13
"bt","glm",185,0.5,3,100,0,0,0,10,11
"bt","glm",185,0.01,5,100,0,0,0,8,8
"bt","glm",185,0.0625,5,100,0,0,0,6,7
"bt","glm",185,0.125,5,100,0,0,0,11,11
"bt","glm",185,0.25,5,100,0,0,0,5,5
"bt","glm",185,0.375,5,100,0,0,0,12,13
"bt","glm",185,0.5,5,100,0,0,0,10,10
"bt","glm",185,0.01,10,100,0,0,0,4,4
"bt","glm",185,0.0625,10,100,0,0,0,8,8
"bt","glm",185,0.125,10,100,0,0,0,5,5
"bt","glm",185,0.25,10,100,0,0,0,8,9
"bt","glm",185,0.375,10,100,0,0,0,7,7
"bt","glm",185,0.5,10,100,0,0,0,6,6
"bt","glm",185,0.01,3,25,0.5,0,0,2,2
"bt","glm",185,0.0625,3,25,0.5,0,0,9,12
"bt","glm",185,0.125,3,25,0.5,0,0,8,10
"bt","glm",185,0.25,3,25,0.5,0,0,7,7
"bt","glm",185,0.375,3,25,0.5,0,0,5,6
"bt","glm",185,0.5,3,25,0.5,0,0,10,12
"bt","glm",185,0.01,5,25,0.5,0,0,2,2
"bt","glm",185,0.0625,5,25,0.5,0,0,8,11
"bt","glm",185,0.125,5,25,0.5,0,0,5,7
"bt","glm",185,0.25,5,25,0.5,0,0,17,22
"bt","glm",185,0.375,5,25,0.5,0,0,6,6
"bt","glm",185,0.5,5,25,0.5,0,0,5,6
"bt","glm",185,0.01,10,25,0.5,0,0,3,6
"bt","glm",185,0.0625,10,25,0.5,0,0,9,12
"bt","glm",185,0.125,10,25,0.5,0,0,13,15
"bt","glm",185,0.25,10,25,0.5,0,0,7,8
"bt","glm",185,0.375,10,25,0.5,0,0,10,16
"bt","glm",185,0.5,10,25,0.5,0,0,7,8
"bt","glm",185,0.01,3,50,0.5,0,0,3,3
"bt","glm",185,0.0625,3,50,0.5,0,0,10,12
"bt","glm",185,0.125,3,50,0.5,0,0,10,11
"bt","glm",185,0.25,3,50,0.5,0,0,14,16
