"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,25,0.1,8,2,0.001,0,0,0,66,64,9936,19,19,0
"bonf","glm",10000,50,0.1,8,2,0.001,0,0,0,202,199,9801,50,50,0
"bonf","glm",10000,100,0.1,8,2,0.001,0,0,0,295,293,9707,62,62,0
"bonf","glm",10000,25,0.1,2,8,0.001,0,0,0,22,22,9978,89,89,0
"bonf","glm",10000,50,0.1,2,8,0.001,0,0,0,44,44,9956,236,236,0
"bonf","glm",10000,100,0.1,2,8,0.001,0,0,0,85,85,9915,308,305,0
"bonf","glm",10000,25,0.1,8,2,0.025,0,0,0,86,86,9914,42,42,0
"bonf","glm",10000,50,0.1,8,2,0.025,0,0,0,221,220,9780,150,148,2
"bonf","glm",10000,100,0.1,8,2,0.025,0,0,0,262,262,9738,267,264,3
"bonf","glm",10000,25,0.1,2,8,0.025,0,0,0,16,16,9984,229,227,0
"bonf","glm",10000,50,0.1,2,8,0.025,0,0,0,54,54,9946,597,584,0
"bonf","glm",10000,100,0.1,2,8,0.025,0,0,0,80,80,9920,1094,1032,0
"bonf","glm",10000,25,0.1,8,2,0.05,0,0,0,80,80,9920,161,161,0
"bonf","glm",10000,50,0.1,8,2,0.05,0,0,0,202,198,9802,527,520,7
"bonf","glm",10000,100,0.1,8,2,0.05,0,0,0,289,289,9711,1165,1129,36
"bonf","glm",10000,25,0.1,2,8,0.05,0,0,0,22,22,9978,689,664,0
"bonf","glm",10000,50,0.1,2,8,0.05,0,0,0,61,61,9939,1931,1768,0
"bonf","glm",10000,100,0.1,2,8,0.05,0,0,0,80,80,9920,4603,3779,0
"bonf","glm",10000,25,0.1,8,2,0.075,0,0,0,81,81,9919,447,443,4
"bonf","glm",10000,50,0.1,8,2,0.075,0,0,0,225,222,9778,1413,1365,48
"bonf","glm",10000,100,0.1,8,2,0.075,0,0,0,312,309,9691,3951,3580,371
"bonf","glm",10000,25,0.1,2,8,0.075,0,0,0,22,22,9978,1916,1758,0
"bonf","glm",10000,50,0.1,2,8,0.075,0,0,0,54,54,9946,5598,4434,0
"bonf","glm",10000,100,0.1,2,8,0.075,0,0,0,72,72,9928,15288,8172,0
"bonf","glm",10000,25,0.1,8,2,0.1,0,0,0,88,88,9912,1132,1105,27
"bonf","glm",10000,50,0.1,8,2,0.1,0,0,0,201,199,9801,3408,3123,285
"bonf","glm",10000,100,0.1,8,2,0.1,0,0,0,283,282,9718,9068,7031,2037
"bonf","glm",10000,25,0.1,2,8,0.1,0,0,0,17,17,9983,4371,3626,0
"bonf","glm",10000,50,0.1,2,8,0.1,0,0,0,43,43,9957,13854,7777,0
"bonf","glm",10000,100,0.1,2,8,0.1,0,0,0,68,68,9932,36510,9923,15
"bonf","glm",10000,25,0.1,8,2,0.125,0,0,0,72,72,9928,2389,2262,127
"bonf","glm",10000,50,0.1,8,2,0.125,0,0,0,197,196,9804,7104,5824,1280
