"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",167,25,0.1,8,2,0.001,0,0,0,8,8,159,2,2,0
"bt","bglm",167,50,0.1,8,2,0.001,0,0,0,5,5,162,3,3,0
"bt","bglm",167,100,0.1,8,2,0.001,0,0,0,10,9,158,0,0,0
"bt","bglm",167,25,0.1,2,8,0.001,0,0,0,1,1,166,13,13,0
"bt","bglm",167,50,0.1,2,8,0.001,0,0,0,3,3,164,10,10,0
"bt","bglm",167,100,0.1,2,8,0.001,0,0,0,4,4,163,6,6,0
"bt","bglm",167,25,0.1,8,2,0.025,0,0,0,5,5,162,4,4,0
"bt","bglm",167,50,0.1,8,2,0.025,0,0,0,3,3,164,6,6,0
"bt","bglm",167,100,0.1,8,2,0.025,0,0,0,8,8,159,6,6,0
"bt","bglm",167,25,0.1,2,8,0.025,0,0,0,0,0,167,11,11,0
"bt","bglm",167,50,0.1,2,8,0.025,0,0,0,1,1,166,15,13,0
"bt","bglm",167,100,0.1,2,8,0.025,0,0,0,1,1,166,22,21,0
"bt","bglm",167,25,0.1,8,2,0.05,0,0,0,8,8,159,7,7,0
"bt","bglm",167,50,0.1,8,2,0.05,0,0,0,10,10,157,15,15,0
"bt","bglm",167,100,0.1,8,2,0.05,0,0,0,6,6,161,30,26,4
"bt","bglm",167,25,0.1,2,8,0.05,0,0,0,4,4,163,34,31,0
"bt","bglm",167,50,0.1,2,8,0.05,0,0,0,0,0,167,47,43,0
"bt","bglm",167,100,0.1,2,8,0.05,0,0,0,2,2,165,101,75,0
"bt","bglm",167,25,0.1,8,2,0.075,0,0,0,7,7,160,25,24,1
"bt","bglm",167,50,0.1,8,2,0.075,0,0,0,10,10,157,46,43,3
"bt","bglm",167,100,0.1,8,2,0.075,0,0,0,6,6,161,80,74,6
"bt","bglm",167,25,0.1,2,8,0.075,0,0,0,2,1,166,67,61,0
"bt","bglm",167,50,0.1,2,8,0.075,0,0,0,1,1,166,121,92,0
"bt","bglm",167,100,0.1,2,8,0.075,0,0,0,2,2,165,303,137,0
"bt","bglm",167,25,0.1,8,2,0.1,0,0,0,3,3,164,43,41,2
"bt","bglm",167,50,0.1,8,2,0.1,0,0,0,8,8,159,63,57,6
"bt","bglm",167,100,0.1,8,2,0.1,0,0,0,7,7,160,172,129,43
"bt","bglm",167,25,0.1,2,8,0.1,0,0,0,0,0,167,126,89,0
"bt","bglm",167,50,0.1,2,8,0.1,0,0,0,1,1,166,301,150,0
"bt","bglm",167,100,0.1,2,8,0.1,0,0,0,1,1,166,666,167,1
"bt","bglm",167,25,0.1,8,2,0.125,0,0,0,6,6,161,64,57,7
"bt","bglm",167,50,0.1,8,2,0.125,0,0,0,6,6,161,152,112,40
"bt","bglm",167,100,0.1,8,2,0.125,0,0,0,7,7,160,267,162,105
"bt","bglm",167,25,0.1,2,8,0.125,0,0,0,0,0,167,241,132,0
"bt","bglm",167,50,0.1,2,8,0.125,0,0,0,0,0,167,583,166,0
"bt","bglm",167,100,0.1,2,8,0.125,0,0,0,1,1,166,1049,167,24
"bt","bglm",167,25,0.1,8,2,0.15,0,0,0,5,5,162,131,103,28
"bt","bglm",167,50,0.1,8,2,0.15,0,0,0,4,4,163,237,153,84
