"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","glm",167,25,0.1,8,2,0.001,0,0,0,3,3,164,1,1,0
"bt","glm",167,50,0.1,8,2,0.001,0,0,0,8,8,159,3,3,0
"bt","glm",167,100,0.1,8,2,0.001,0,0,0,7,7,160,1,1,0
"bt","glm",167,25,0.1,2,8,0.001,0,0,0,2,2,165,4,4,0
"bt","glm",167,50,0.1,2,8,0.001,0,0,0,5,5,162,6,6,0
"bt","glm",167,100,0.1,2,8,0.001,0,0,0,3,3,164,3,3,0
"bt","glm",167,25,0.1,8,2,0.025,0,0,0,5,5,162,9,9,0
"bt","glm",167,50,0.1,8,2,0.025,0,0,0,4,4,163,3,3,0
"bt","glm",167,100,0.1,8,2,0.025,0,0,0,5,5,162,9,9,0
"bt","glm",167,25,0.1,2,8,0.025,0,0,0,4,4,163,16,16,0
"bt","glm",167,50,0.1,2,8,0.025,0,0,0,1,1,166,19,18,0
"bt","glm",167,100,0.1,2,8,0.025,0,0,0,2,2,165,21,20,0
"bt","glm",167,25,0.1,8,2,0.05,0,0,0,6,6,161,7,7,0
"bt","glm",167,50,0.1,8,2,0.05,0,0,0,7,6,161,17,17,0
"bt","glm",167,100,0.1,8,2,0.05,0,0,0,10,9,158,25,24,1
"bt","glm",167,25,0.1,2,8,0.05,0,0,0,1,1,166,29,27,0
"bt","glm",167,50,0.1,2,8,0.05,0,0,0,1,1,166,53,49,0
"bt","glm",167,100,0.1,2,8,0.05,0,0,0,2,2,165,104,81,0
"bt","glm",167,25,0.1,8,2,0.075,0,0,0,6,6,161,17,17,0
"bt","glm",167,50,0.1,8,2,0.075,0,0,0,6,6,161,39,39,0
"bt","glm",167,100,0.1,8,2,0.075,0,0,0,9,9,158,90,76,14
"bt","glm",167,25,0.1,2,8,0.075,0,0,0,3,3,164,71,61,0
"bt","glm",167,50,0.1,2,8,0.075,0,0,0,1,1,166,141,88,0
"bt","glm",167,100,0.1,2,8,0.075,0,0,0,2,2,165,271,145,0
"bt","glm",167,25,0.1,8,2,0.1,0,0,0,11,10,157,39,35,4
"bt","glm",167,50,0.1,8,2,0.1,0,0,0,3,3,164,91,78,13
"bt","glm",167,100,0.1,8,2,0.1,0,0,0,9,9,158,154,118,36
"bt","glm",167,25,0.1,2,8,0.1,0,0,0,2,2,165,137,95,0
"bt","glm",167,50,0.1,2,8,0.1,0,0,0,1,1,166,310,140,0
"bt","glm",167,100,0.1,2,8,0.1,0,0,0,2,2,165,690,166,1
"bt","glm",167,25,0.1,8,2,0.125,0,0,0,5,5,162,87,77,10
"bt","glm",167,50,0.1,8,2,0.125,0,0,0,8,8,159,152,113,39
"bt","glm",167,100,0.1,8,2,0.125,0,0,0,9,9,158,279,165,114
"bt","glm",167,25,0.1,2,8,0.125,0,0,0,1,1,166,267,139,0
"bt","glm",167,50,0.1,2,8,0.125,0,0,0,1,1,166,563,164,0
"bt","glm",167,100,0.1,2,8,0.125,0,0,0,3,3,164,1063,167,20
"bt","glm",167,25,0.1,8,2,0.15,0,0,0,6,6,161,129,105,24
"bt","glm",167,50,0.1,8,2,0.15,0,0,0,7,6,161,223,149,74
"bt","glm",167,100,0.1,8,2,0.15,0,0,0,4,4,163,327,167,160
"bt","glm",167,25,0.1,2,8,0.15,0,0,0,0,0,167,455,164,0
"bt","glm",167,50,0.1,2,8,0.15,0,0,0,1,1,166,919,167,8
"bt","glm",167,100,0.1,2,8,0.15,0,0,0,1,1,166,1291,167,128
"bt","glm",167,25,0.1,8,2,0.175,0,0,0,3,3,164,197,138,59
"bt","glm",167,50,0.1,8,2,0.175,0,0,0,8,8,159,289,161,128
"bt","glm",167,100,0.1,8,2,0.175,0,0,0,4,4,163,332,167,165
"bt","glm",167,25,0.1,2,8,0.175,0,0,0,1,1,166,699,167,1
"bt","glm",167,50,0.1,2,8,0.175,0,0,0,0,0,167,1155,167,56
"bt","glm",167,100,0.1,2,8,0.175,0,0,0,4,4,163,1329,167,160
"bt","glm",167,25,0.1,8,2,0.2,0,0,0,9,9,158,237,153,84
"bt","glm",167,50,0.1,8,2,0.2,0,0,0,10,10,157,323,167,156
"bt","glm",167,100,0.1,8,2,0.2,0,0,0,5,5,162,334,167,167
"bt","glm",167,25,0.1,2,8,0.2,0,0,0,1,1,166,951,167,9
"bt","glm",167,50,0.1,2,8,0.2,0,0,0,4,4,163,1280,167,116
"bt","glm",167,100,0.1,2,8,0.2,0,0,0,4,4,163,1336,167,167
"bt","glm",167,25,0.1,8,2,0.001,0.5,0,0,16,12,155,2,2,0
"bt","glm",167,50,0.1,8,2,0.001,0.5,0,0,18,13,154,5,4,1
"bt","glm",167,100,0.1,8,2,0.001,0.5,0,0,7,7,160,3,3,0
"bt","glm",167,25,0.1,2,8,0.001,0.5,0,0,1,1,166,15,11,0
"bt","glm",167,50,0.1,2,8,0.001,0.5,0,0,1,1,166,11,9,0
"bt","glm",167,100,0.1,2,8,0.001,0.5,0,0,1,1,166,8,6,0
"bt","glm",167,25,0.1,8,2,0.025,0.5,0,0,11,6,161,2,2,0
"bt","glm",167,50,0.1,8,2,0.025,0.5,0,0,2,2,165,10,8,2
"bt","glm",167,100,0.1,8,2,0.025,0.5,0,0,6,6,161,7,7,0
"bt","glm",167,25,0.1,2,8,0.025,0.5,0,0,0,0,167,13,10,0
"bt","glm",167,50,0.1,2,8,0.025,0.5,0,0,1,1,166,21,16,0
"bt","glm",167,100,0.1,2,8,0.025,0.5,0,0,4,3,164,25,23,0
"bt","glm",167,25,0.1,8,2,0.05,0.5,0,0,13,6,161,7,7,0
"bt","glm",167,50,0.1,8,2,0.05,0.5,0,0,4,4,163,21,18,3
"bt","glm",167,100,0.1,8,2,0.05,0.5,0,0,7,5,162,42,35,7
"bt","glm",167,25,0.1,2,8,0.05,0.5,0,0,2,2,165,55,32,0
"bt","glm",167,50,0.1,2,8,0.05,0.5,0,0,2,2,165,64,34,0
